,cyc (t),dhw (t),other (t),cyc (t-1),dhw (t-1),other (t-1),cyc (t-2),dhw (t-2),other (t-2),year,longitude,latitude
698,0.665177567452581,0.3737961684753812,0.19588364654180834,-0.04418704799745847,-0.7055879851356708,0.26241466991353884,0.1481048053443647,0.10998383299582018,-0.040149790793724875,1.5185492643064908,0.030124568629003017,1.26292412837193
385,0.46886442760412306,-0.33944241915278883,-0.33666728552373176,0.11756345745924444,0.374231070509213,0.09081720892173298,0.13841022684433918,0.0005400056460946808,-0.07626624326248574,-6.344894902729623,-0.6414644026754829,-0.5349708455573282
379,0.638561130439738,0.3926301116996912,-0.2102578670338335,-0.009360487958368965,0.4470255913867127,-0.4593789608919274,0.1547505782404282,0.013479130633215746,-0.075234111583304,0.2524804693489665,-0.5776068053127072,-0.6183789758681952
1901,0.5027516576037567,-0.3714582191336263,0.27839091419377315,0.056972515105716784,-0.7264604692887433,0.18905725290572134,0.16182450001480997,-0.03173364229550992,-0.12674807088020873,3.9668185599775168,0.15012610464966217,1.1467878315312467
863,0.4204260720570337,-0.06274566247901692,-0.32100320177726366,0.14974945737885245,0.12847192921666584,-0.5790527158000566,0.09994235283447168,0.18313906298125218,0.17350128774271353,-6.3768265504084365,-0.009677919526115509,-0.5491827695679994
486,0.6089366173187725,0.1297991123371492,0.2931487643599259,-0.02033333739429771,0.11827282906554477,-0.38435577427343787,0.15895966365117975,0.104356919595527,0.23433226273851832,1.528932902843663,0.010418757385875025,1.2604162259690783
4384,0.6242419535339451,0.1381213422455025,0.28744224008390085,0.012270502088903996,-0.7226763171324385,-0.39689514512295243,0.1732578216811579,0.08330093256106598,0.18246689155106455,1.49475042223774,-0.5238794135055791,-0.5676257839549157
555,0.6135216131502532,-0.0298055954390187,0.011805460159260373,-0.230144507379653,0.12003360134508238,0.19189715756398135,0.1841148857567542,0.12730374504615977,0.1717885815100016,3.8721374147549428,-0.046643357056954174,-4.130775553667151
338,-0.6115201168411535,0.1489867212130702,0.18527119544580134,-0.02781234959360703,-0.7300779487945238,0.28068206577059623,0.159146829926301,0.09705273909122056,-0.03883674603514894,1.5550525681528662,-0.5478405483524579,1.2717759935139334
1030,0.5394135329959352,0.38479436053716587,-0.030722141385830046,0.113340881017327,0.06983776209957442,0.2093933803851376,0.17560069333138034,0.1703433122214699,0.1271069744980988,4.003877654800232,-0.4999980077479897,-0.5623806356417579
2779,-0.7154803190423833,0.4774218022659229,-0.06322319419205415,-0.09114755051824953,0.20683293832806354,-0.07416450175204274,0.15556367047223155,0.15012460553997387,0.22030595229548677,0.35930767061854174,0.42855454951934807,-4.1880113445428195
752,0.6474159566519021,0.08263955502512854,0.16822479031990775,0.03569208007463043,0.07292757855259087,0.18121234969771519,0.15795099648361702,-0.2180294611533942,0.03418008757636484,1.4764044183358658,-0.022116571641347532,1.2378992336232317
2248,0.44709814321692726,0.30298618052020454,0.18202422841524377,0.07819669029246276,0.17065546723677405,0.07205403983213327,0.10973004309335531,0.014357891810496152,-0.020834445747414904,-6.344627001030219,0.14988503909456874,1.1562946607463005
289,0.6431405534171065,0.38807214023568964,-0.23216848020917927,-0.02955869423376156,0.07187658676504509,-0.039714155634521076,0.1616856209181997,-0.15283656268753446,-0.18547900323104077,0.224804797370923,-0.5999874355623,1.1670946938633233
1031,-0.5661451826086553,-0.32912433297159854,-0.25392926573750646,0.09711089468590844,0.5560386270020737,0.19077617130835411,0.16303591906162768,0.019129511568618567,0.10699876315097984,4.0276852999643795,-0.4444327631587945,-0.5812068113735012
649,0.5855849980533511,0.10119561199700143,0.27316352066984806,-0.030097607384205558,0.4199099563686163,0.23235040616434738,0.16052567424076294,-0.11809096606587906,-0.17971607050310243,0.22367786258639774,-0.09036925088760765,1.1639962980151128
1689,0.6028407700651064,0.0041444096270177744,0.004050616520940495,-0.2231846618605669,0.0066626480792546395,0.19002715719698973,0.18934865272601148,0.11525503601905723,-0.13240732773681416,3.8307770783060784,0.13927754427288686,-4.190052131490519
3133,-0.535618024683747,0.05323788593572874,0.22722155406133213,0.25235172035983844,0.0717831235650248,-0.3845016742544924,0.24310111477722743,-0.16389903889269103,-0.1156212274988098,3.9743743000085896,0.4066904755699067,3.5941298116309617
3938,0.6957682605504871,0.4685722301544813,0.20099686982137258,0.13914542367021426,0.41693818979635533,-0.046401882865569496,0.24554518237585898,0.08022827822706595,-0.07684279384117171,1.459055452727982,0.2099339288557397,3.6591785318436654
2243,0.44003029137754085,-0.028103018717140646,0.18611171884804217,0.10812589824392883,0.033482645374554136,0.23276895145957835,0.10080418641092281,0.05430890281126843,0.1661851258361769,-6.339392693196559,0.11213271376676014,1.1629816485473532
2398,0.48080360990084064,0.4086485572350526,0.1909366034686631,0.27116238295725553,0.17833462295144592,0.15063001341264537,0.16159355111051074,-0.05719337438738684,-0.1590423344820826,-6.353511368979241,0.17510254696180055,3.5014519499534393
267,0.45526576819863307,-0.08133221020827218,-0.3566238989721706,-0.17123881210540884,0.11805969806578216,0.2175070715868394,0.12956411602406193,-0.2624120798129341,-0.04039281074371503,-6.377751780596209,-0.7019649323719312,-0.5598135479678479
1331,0.5295859247325022,-0.33529699494875786,0.08978860299414601,0.11055088564558456,0.09895792992722176,0.20792265630844917,0.18173715652317837,-0.0681500858377636,0.14601638917190687,4.009029472377138,-0.0029105731853605286,-0.5670552277202595
2175,0.47543884962561844,-0.0019751839294148135,0.25761183534965526,0.07118563732416391,0.11024306949715179,0.2176786250950301,0.16443364222137025,-0.08704084264853076,-0.11405240133647084,3.9950616479454624,0.15354941658883234,1.1418807226680536
2726,0.5549276005626069,0.020105027901821837,0.22890593585302402,0.2313880465898042,0.33628262438084977,-0.45137786919405404,0.1276225547833892,0.13069822352059574,-0.11017298252261003,-6.268055711861024,0.5392513168057639,-4.19605838340899
3139,0.6899155611824791,0.5101192754837136,-0.22373908979101284,-0.11025923446134339,0.11855531437568519,0.19720069724223757,0.20618740285425802,0.27216253744443536,0.10894850207545644,0.2900526213400984,0.44867124700501826,3.5660875177224804
4107,0.47051465796236125,-0.07990965608571188,-0.3673585282731249,-0.11509851623954562,0.11883821860086936,0.08221482189044788,0.12209801015231324,0.07399766429896996,-0.05928770028873804,-6.426020792531367,-0.7164271056930933,1.1568949952389076
1376,0.43520921779695165,-0.04666243153722015,0.26422798287913146,0.11519529861536944,0.040744370617498006,-0.575195485295236,0.09122230701385362,0.15153039239338825,-0.008673597942094161,-6.4106410405682865,-0.011711892539104452,1.150498345802652
997,0.660174446422246,0.11592170540538835,-0.2086913860040302,0.0009888957238028805,0.1366066582145736,-0.3976233506563961,0.17282389585980792,0.08143652790221356,0.07315791949501815,1.481907782794299,-0.4940044192177308,-0.5649991379096099
1525,0.4988511693023856,0.0490582586245786,-0.37062970439391496,0.2896179635147282,0.3690005925189417,0.21504129620120108,0.17383621978879185,-0.04141051805051993,-0.16913395987745442,-6.3340708665985,0.15075281191623963,3.5086515451867526
1957,0.5672833949500231,0.11562644109916577,0.2908118976672393,-0.03555609489572804,0.09241986690909644,-0.38204880883902076,-0.1275421091107949,0.08498403064995241,-0.14455441336663802,1.45457142800305,0.18843687503480824,1.2759473598860758
3077,0.60639432313777,0.06648587933437923,0.23346423019567017,0.12861892439703818,0.15491250417452912,-0.4356270898728982,0.2161356075038995,-0.12856647235375873,-0.14730136689764667,0.30364927840106554,0.43741676134500596,3.5731696674517655
2115,0.613314988266776,0.4085121430652688,0.08816215324442027,0.2463011221437067,0.011035011549707817,0.20497116227195356,0.18607947749129355,0.1578371055144439,0.16556003826448962,3.844532010201196,0.1228561626459028,-4.205713283926021
1696,0.6603630606040991,0.06466822846231726,0.10866488226308094,0.14921734233566172,0.22859301308605362,0.24137879934343884,-0.16796243374975964,-0.053849716698975716,0.21833189429702854,0.32785544606930894,0.2653828865340367,-4.147338752405053
3320,0.7251743808335137,0.4615839465057136,-0.06864199453886588,-0.06801019648528578,0.37298828516565097,-0.07168003542213654,-0.1775039535637893,-0.03816857945907985,0.056613903777376684,0.34331200606849266,0.42613251015023657,-4.159028935191412
3893,0.4894821777284616,-0.08489307102782599,0.11389068878590766,0.29032762083467967,-0.6209709279628551,0.130343577672033,0.1701614543515786,0.25472065402366106,0.08503298404538047,-6.30847424252316,0.16337069512188918,3.5233187575259515
2233,0.5132889370133692,-0.3638603354851251,0.26704779541846047,0.07250728692806385,0.07142901787489449,-0.33407340549820247,0.17826433078159717,-0.109583776138124,0.10390091578648608,3.97870162215915,0.09925261718098764,1.1856921878703237
92,0.6499348849680568,0.12515843182028086,0.13384625172938136,0.0024788659506270135,-0.7382300088021146,0.20459926442575568,0.1781013155345019,-0.2055854747030231,0.18117600532034514,1.5000375451386558,-0.5529497365916195,-0.5591766166290123
2807,0.5926208985910024,0.09477864943858383,0.29384042851819203,-0.08069186349337781,0.12062599369511667,-0.06422710279423806,0.18819958738086617,-0.057364227850683576,-0.03519835326321771,0.2655302009750978,0.4460005204979545,1.1528524112140766
3101,0.6285013372796425,-0.4047007069260371,-0.24602676609543028,0.2583816993597519,-0.714149041926381,-0.35510184239899223,0.23552470361236966,0.06228018964708256,0.2165039298766348,3.975500707697515,0.39567761435936477,3.57755096989835
1721,0.558238404177744,-0.3678106291153528,-0.03942143314321378,0.06436359283696474,-0.7315988146449274,0.18923425453859224,0.16493407597231866,-0.020840009538152942,0.12207711380910523,3.990114803287077,0.1550643684915984,1.1530249706478584
1478,0.6887786037347865,0.4808700323194407,0.12984299479626457,0.1494012902293707,0.08056329964304533,0.18209810266842202,0.22404678213239543,-0.25803119540163344,-0.15611274724449228,1.4760234871673419,0.21588559627978285,3.6601611969189554
1564,-0.7374280436269993,-0.46985211847689534,0.2790442268226571,-0.1448312726153159,-0.7060706868669863,-0.2956307998637509,-0.18284295032749695,0.16887350408665006,0.05540462661623034,1.4534435694538448,-0.0587869644982696,-4.33785363972655
62,0.7289084080925442,-0.40205833771689525,-0.08738544597274424,0.1367131037773406,0.09098966490074727,0.17418772507962133,0.17914111952943026,0.18942160104756978,0.29760710963484793,1.59954458827201,-0.45739866523760203,-4.336115428745735
2257,0.7082299389379397,-0.09698349951862514,-0.23019547747679592,0.1466926098407491,-0.7265597002223922,-0.3839718267687491,-0.20966932599693777,-0.21430912363445181,0.16125793031962576,1.4440138558595756,0.3886181368284558,3.6545715094776954
155,0.6126966313571403,0.37646156018229876,0.3024088827727356,-0.03654095342151865,0.10441972338467778,-0.0960970254085465,-0.15539102372837887,-0.18336079092358018,-0.07707203070878071,1.5456193916835372,-0.5295715172650566,1.2710989487840618
3435,0.571442563335517,0.44572714871855706,0.16404816867377586,0.23278193101434316,0.5288213427751322,-0.05192935087947172,-0.22204493206869652,0.06211038768428292,-0.0907615220394084,3.9809774024266926,0.41413684882657276,3.577790012930627
1768,0.4471637475710901,0.30318019334235186,0.18220114116165678,0.07825052428694709,0.17085206208417214,0.07222826652632022,0.109779186302664,0.014538494518396086,-0.020639407638589145,-6.34441477957586,0.15008178985231715,1.1564790681928643
1826,0.4700908716544012,-0.08817976458188365,-0.3492501202891258,0.3049532581602103,0.14904710462150253,-0.5942413446202351,0.1495963592332093,0.27888233812090946,0.11624238390758887,-6.372891853300053,0.16255575644674047,3.5335375571440735
1496,0.4983346345836284,-0.07700336064613893,-0.005357124499853993,0.29454734045553765,0.37228341084086547,-0.5960002387031325,0.1441043429030584,0.2794316496707499,0.056872473748147176,-6.350471810399146,0.1568550689181301,3.523458474199765
2658,-0.6176302439992082,0.42612354289986354,0.10284488348034834,-0.023673692854434387,0.09661562191271747,0.24251526005261148,0.14372848042649816,0.16794068074622456,0.15882634061615833,0.32672337184576494,0.4569432970928084,-0.5721979576373991
2645,-0.6852007875413364,-0.45187631859616123,-0.17436090652065783,-0.015550656387762464,-0.7956094136546835,0.1982691236064179,0.15054497438658287,-0.2161113150524397,-0.21276059060191274,1.3509940226323334,0.35603556595633756,-0.5525417316990996
2072,-0.7721486650538715,-0.5017730562799179,0.30643745452810184,-0.18164695488055976,-0.7183068311648066,0.16246502657382225,0.1558817440757813,-0.3085759581025281,0.19891694615760186,1.4143878724450023,0.1344417954976368,-4.407249574380867
2394,0.5019410897274921,0.4158583515359634,0.21196139695418637,0.2756838339494251,0.2027940135540837,0.15399577475861254,0.18157916050822348,0.06615347167034176,-0.1490595820570594,-6.331721456060623,0.16019930831521886,3.5131456549744255
2684,-0.537382788564878,0.3928343225846474,-0.02182575003373704,0.05561428835079943,0.07978517771864217,0.2344154616164187,0.14661545807299992,0.04537251809797674,-0.11749653778815075,3.994316715226447,0.4313854592207439,-0.556261519386748
758,0.6582036652768454,0.37237431302185675,0.18956692510391498,-0.03617010751830889,0.10733198449695089,-0.06233503384585711,0.17391775895005174,-0.18722396419040266,-0.06412094796401957,1.5160887187815915,0.023712857278428093,1.2669842290575968
3195,0.5848446598874225,0.3977963464936866,0.2339814689336188,0.21987196066084483,0.03044469470595907,0.1971744124461725,-0.18995686397026304,0.13782114237687007,0.18412031953266864,3.8307084816838697,0.37553122745739903,-4.225823611028975
279,0.5605869472511248,0.3586321323991417,0.10099959938712846,0.07745246286476597,0.07162265309766201,0.1962888481710913,0.1707494388060348,-0.10391916441671216,0.1143275743183451,4.032991264930272,-0.5154820874810522,1.1744132605359456
1982,0.7381882430301833,0.09983457819342162,-0.26348580593763427,0.11465482722837596,0.09583744313329431,0.17327492132087238,0.18764556933182944,0.18143465872002162,0.08186247366760506,1.5857981935079397,-0.4598453599292608,-4.325855214352058
3409,-0.6882515780783595,0.06505512746499038,0.10732039059689762,-0.10480690532899134,0.387389384997794,0.22396514212330232,-0.1654113917239922,0.14137649499649996,0.21777051007003076,0.34766205087833096,0.4385108430275583,-4.169624269629069
3005,0.7506216848061723,0.114069212950025,0.16199316203285394,0.1367813518272306,-0.660115897425447,0.25591052687259364,0.19959963337120912,0.18188493516203363,0.0926941861035508,1.5971261072846683,-0.4773124853818173,-4.286843111716339
3525,0.5435955333677226,-0.06224188607262905,0.17430293837483046,0.24034526303768378,0.5293638419271463,-0.05032412368422053,-0.2200786949187115,0.26414474119349324,-0.07861606771779607,3.9968427286518255,0.41564570287863806,3.5763287558585866
595,0.527850464696868,-0.40563585712637834,-0.37678042596444744,0.2597477112989964,0.0348996405651982,-0.465021894513277,0.14061727751037317,0.012847931420592056,-0.11604863327330082,-6.290359233172873,-0.03470799883145361,-4.225671154573598
1725,0.5030967032415276,-0.026282156745334333,-0.054552275672968255,0.07298227783028162,0.09444818012527262,0.20265316178534598,0.15385743026065557,0.04607037654082891,-0.12984666768053457,4.006650966942633,0.1613517543865354,1.1414607850415066
3227,-0.6714405029018392,0.06732446220298532,0.09259200477188483,0.11501045221384054,0.05262709448782392,0.23880319751540285,0.17844851097532363,0.15167987928197066,-0.14115922837040015,0.35190391411759786,0.41892135039484557,-4.1810869257825525
1898,0.6203655268608167,0.369853546880384,0.18769371830677756,-0.036623024580704815,0.08566809380111173,-0.3820487677188374,0.12605717711186742,0.07547175529006048,-0.16293205269891248,1.4561841673028038,0.19119922087192362,1.2742133881820308
3802,0.6862604039604793,0.04452619831177081,-0.03671338861025557,0.1338629929092967,0.052519803752300136,0.14641643697518406,0.23090628384084894,-0.2387611143371187,0.09612018869150005,0.26930903241841303,0.214686723742011,3.559406733507989
1196,0.5098134016941368,-0.0862498483692709,0.02294590533905181,0.2814898098724943,0.0471299158868332,-0.598841605081092,0.15705768575078788,0.06731752324078367,0.07165931564907026,-6.395823019534269,-0.08315360848783002,3.5196265114931493
964,0.632280498710843,0.12361054979358405,0.24809837978953245,0.024929783245552475,-0.7238100532214629,-0.41157226145021353,0.16443357041900278,0.07941171202972043,0.05984556783836455,1.424941518720601,-0.020052778882311422,-0.5819240415029127
3767,0.5835362607559588,0.08030940175205545,0.2466440151651193,-0.02836404766163546,0.4114339342254469,-0.04147338306007382,0.1753974246538613,-0.08273185396974289,-0.16628549647806756,0.2599039728049394,-0.10347669085004971,-0.5882800249814977
834,0.5208221371463425,0.052536888318128167,-0.36588725718613757,0.2634736511008795,0.1940900697707705,-0.4503754743323071,0.13623711636491515,0.005388790122701279,-0.1499223148131837,-6.33043240964611,-0.032806377155710824,-4.1774498900495525
4193,0.4668703546300592,0.31816858651757524,-0.32197634516495044,0.13804382260284978,0.3907549098409389,-0.5606746018646137,0.0983188037687228,0.19498101350086935,0.006849222527823775,-6.369119023920599,-0.6617076743794174,-0.5509787262180736
4376,-0.4631095543551,-0.08669465308597597,0.20830191206144294,0.15795508492154609,-0.6394573880051083,-0.5687240033995017,0.09253226715368477,0.18298305161406667,-0.005956468405692184,-6.341700985146542,-0.6834857964635247,-0.5338014648033507
2057,0.6831688583784947,-0.39846187412001016,-0.2593079833461824,0.12070416912321243,0.19490900527754276,-0.06157225059570233,0.19235520435781545,-0.07193638159801787,-0.17312932335817993,0.28145350489795196,-0.5454894071874814,-4.163631749126147
872,0.7654853593269333,0.07440899045312792,-0.13927640645280756,-0.1593412833952352,-0.6741664427961568,0.21765585729158785,0.20517858313669407,-0.2864329380941843,0.061713809724281254,1.4975147642518507,-0.05972636511492583,-4.344571651246417
3735,0.46777863793827384,-0.07138667481717194,0.22817718271539894,-0.08429839737827853,0.06353860974417594,0.24742824291526047,0.16841425389018924,0.19205228781014916,-0.10164113370392568,4.003269996682384,-0.02764301146508864,-0.6146713255879243
2967,0.5284476224567989,0.37409026046566674,0.23782571929673177,0.20500499393618316,0.1864460772723844,0.18040176669161265,0.1144760820640206,0.15118625133845548,-0.0926534638053239,-6.268178300262541,0.5290744421385645,-4.228793493594394
3791,0.6044480643834838,-0.40628019940659477,0.08168896936618567,0.2501560746661703,-0.7210133754226534,0.19985281044010386,0.2403602587803284,0.2719927826447376,0.20024692840321615,3.982894959866058,0.16045033625310495,3.576184935652457
1846,0.6507763168746635,0.5215562614720726,-0.020604382393490016,0.15818995948233422,0.21565341618896547,-0.4497441116327295,0.19364153856290742,0.2903931037599102,-0.14503895823337168,0.3055244597249993,0.2878672701472515,3.6026074721969716
52,0.6033770315553366,0.4252661119926151,-0.1563761329551655,-0.021206596786896507,0.1285233486590702,0.1803073325334545,0.14145432183430848,-0.1043640613393123,-0.18945783324869903,0.24487335536088065,-0.6608270176967013,-0.5907805738431064
3393,0.7382287424904515,-0.47377197657428777,-0.12437669438630088,0.1281934865608572,-0.6783776039506316,0.19606472882557294,0.19129164578495433,0.09582540211890438,0.24558474607365352,1.4653344528984544,0.3282842932386484,-4.369265130040376
3515,-0.742826846494988,-0.45961764503975494,-0.26609090051913953,0.13189622285193733,-0.7609287284800598,0.16874033879703917,0.2074676392617183,-0.2636007387033529,0.14902981704465976,1.4156293613346649,0.3692201109368478,3.624830180171611
3775,0.45253886039695995,-0.3634562308309137,-0.3384279556457022,0.09539897417407654,0.3516048502586739,0.09029072583821707,0.13220847118437823,0.004578131374244793,-0.06043779297844515,-6.316436104383734,-0.054315832198533025,-0.5309889140374638
2207,0.6033529144478101,0.41128476710997786,-0.13763164219385648,-0.03608302358621837,0.1827324921718191,0.2167759655585645,0.13367211112433472,-0.0525440920484525,-0.1762309022582384,0.2669343480398351,0.2689926558125741,1.1549424454425288
2321,0.6182270106524252,-0.3971988249584385,-0.2427095440449715,0.2688673353628258,-0.7181251451384506,0.009403507043628809,0.2557819073471119,0.26711577219121363,0.22137222042868643,3.9771767342219047,0.16499819194107643,3.5847143452438552
2719,-0.7152996330040353,0.47752542452595725,-0.06312178650384352,-0.09099014131297681,0.2069354533677963,-0.07406442064437778,0.15559434783926868,0.15023010192076675,0.22039829513886608,0.35940614943545895,0.42865427896968306,-4.187910799017899
565,0.5317431919044031,-0.3962074761858986,-0.3716870006518722,0.24918079781931052,0.31145115800345147,-0.45834297675252844,0.1337576420236625,0.008632043703300741,-0.11437437360148676,-6.292993598424784,-0.04192834250443951,-4.209855231093325
1792,0.6225956620763278,0.07131959771057021,-0.13630910426831608,-0.0452522768290899,0.06095470084238968,0.19465876442480395,0.14185096196059416,0.053020939227188334,0.1534383396360258,0.24468096379282653,0.18655173471288478,1.164011497781567
3579,0.5816252056857719,0.0465323089507552,-0.26878868445513093,0.2556919054460074,0.07158313014287176,-0.3878201526968491,0.23364038790859823,0.05136057214235968,-0.12412808241327954,3.975390583800371,0.41167126531961323,3.564765659920084
1818,-0.6883852035437805,0.4919586304916723,0.07556634207118237,0.14129080485685666,0.4248902279086964,0.0077082395093381805,0.20821907769809672,0.2904528485573141,0.10432150913447824,0.29045303337645245,0.25337595719027206,3.570484084107547
2798,0.6292194464305686,-0.07182146537464407,0.2846423524673543,-0.08511692295796987,0.1296302622757058,-0.10865747978951604,0.17711144513515242,0.08094947001579292,-0.055880467733690035,1.4752130115578233,0.40688937432062106,1.2542588408074797
2127,0.5097076712565177,0.021505390113418427,0.23596253453927626,0.24740850743426257,0.2195990933650043,0.17945826674698848,0.10454449379164017,0.17057360186184492,-0.11781191164974625,-6.276953397675575,0.17042162062148147,-4.199067918158802
2343,0.6642303016485515,-0.4280826233292856,-0.26710788473838165,0.1286143248283182,0.11264444261895597,-0.39924461391637567,-0.21987698198252864,0.0924269457339448,-0.176577905351745,1.4292842593638322,0.37592004598340584,3.630832904254001
