Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
900,GAM,2.046,1.0,9.311942552830917
2300,GAM,1.814,2.0,8.256042908521646
522,GAM,1.68,3.0,7.646169838101634
2318,GAM,1.662,4.0,7.56424658983626
96,GAM,1.628,5.0,7.409502676446107
1910,GAM,1.609,6.0,7.323028136610434
2724,GAM,1.547,7.0,7.040848059251921
2188,GAM,1.532,8.0,6.972578685697443
2085,GAM,1.503,9.0,6.8405912301587835
1749,GAM,1.463,10.0,6.65853956734684
2004,GAM,1.397,11.0,6.358154323707133
1169,GAM,1.38,12.0,6.280782367012057
1377,GAM,1.379,13.0,6.276231075441758
1476,GAM,1.367,14.0,6.221615576598175
1040,GAM,1.35,15.0,6.144243619903099
2584,GAM,1.346,16.0,6.126038453621905
1129,GAM,1.343,17.0,6.1123845789110085
2110,GAM,1.331,18.0,6.057769080067426
307,GAM,1.321,19.0,6.012256164364439
1697,GAM,1.321,19.0,6.012256164364439
318,GAM,1.295,21.0,5.893922583536676
539,GAM,1.29,22.0,5.871166125685184
1423,GAM,1.278,23.0,5.8165506268416
1360,GAM,1.276,24.0,5.807448043701004
294,GAM,1.274,25.0,5.798345460560406
636,GAM,1.267,26.0,5.766486419568316
1010,GAM,1.267,26.0,5.766486419568316
1371,GAM,1.24,28.0,5.643601547170253
1681,GAM,1.24,28.0,5.643601547170253
815,GAM,1.231,30.0,5.602639923037567
2486,GAM,1.223,31.0,5.566229590475178
1572,GAM,1.217,32.0,5.538921841053386
2158,GAM,1.193,33.0,5.42969084336622
748,GAM,1.186,34.0,5.39783180237413
2209,GAM,1.182,35.0,5.379626636092936
1885,GAM,1.175,36.0,5.347767595100845
2541,GAM,1.174,37.0,5.343216303530546
606,GAM,1.165,38.0,5.302254679397859
527,GAM,1.157,39.0,5.265844346835471
1243,GAM,1.157,39.0,5.265844346835471
2404,GAM,1.152,41.0,5.243087888983977
35,GAM,1.149,42.0,5.229434014273082
2690,GAM,1.143,43.0,5.202126264851291
69,GAM,1.142,44.0,5.197574973280991
1355,GAM,1.133,45.0,5.156613349148304
1837,GAM,1.13,46.0,5.142959474437408
84,GAM,1.122,47.0,5.10654914187502
2047,GAM,1.12,48.0,5.097446558734424
2177,GAM,1.118,49.0,5.088343975593826
100,GAM,1.109,50.0,5.047382351461138
2344,GAM,1.097,51.0,4.992766852617555
1484,GAM,1.096,52.0,4.988215561047257
306,GAM,1.091,53.0,4.965459103195763
1070,GAM,1.089,54.0,4.9563565200551665
1009,GAM,1.086,55.0,4.942702645344271
955,GAM,1.081,56.0,4.919946187492777
193,GAM,1.07,57.0,4.8698819802194935
410,GAM,1.064,58.0,4.842574230797702
1469,GAM,1.061,59.0,4.8289203560868055
1354,GAM,1.056,60.0,4.806163898235313
1652,GAM,1.054,61.0,4.797061315094716
761,GAM,1.05,62.0,4.778856148813522
1972,GAM,1.05,62.0,4.778856148813522
1121,GAM,1.041,64.0,4.737894524680834
1255,GAM,1.022,65.0,4.651419984845161
1025,GAM,1.02,66.0,4.642317401704564
570,GAM,1.019,67.0,4.637766110134264
1729,GAM,1.015,68.0,4.61956094385307
149,GAM,1.011,69.0,4.601355777571876
297,GAM,1.011,69.0,4.601355777571876
2274,GAM,1.003,71.0,4.564945445009487
1114,GAM,1.0,72.0,4.551291570298591
39,GAM,0.989,73.0,4.501227363025308
220,GAM,0.984,74.0,4.478470905173814
1412,GAM,0.983,75.0,4.473919613603516
2583,GAM,0.978,76.0,4.451163155752023
1185,GAM,0.975,77.0,4.437509281041127
1142,GAM,0.97,78.0,4.414752823189634
1892,GAM,0.967,79.0,4.401098948478738
255,GAM,0.958,80.0,4.36013732434605
1758,GAM,0.955,81.0,4.346483449635155
1530,GAM,0.954,82.0,4.341932158064856
581,GAM,0.939,83.0,4.273662784510377
2029,GAM,0.939,83.0,4.273662784510377
437,GAM,0.936,85.0,4.260008909799482
2731,GAM,0.936,85.0,4.260008909799482
1096,GAM,0.932,87.0,4.241803743518288
2758,GAM,0.93,88.0,4.23270116037769
511,GAM,0.927,89.0,4.219047285666795
1793,GAM,0.924,90.0,4.2053934109558995
1419,GAM,0.921,91.0,4.191739536245003
1597,GAM,0.918,92.0,4.178085661534108
2149,GAM,0.913,93.0,4.155329203682615
2022,GAM,0.911,94.0,4.146226620542017
556,GAM,0.91,95.0,4.1416753289717185
2648,GAM,0.91,95.0,4.1416753289717185
885,GAM,0.904,97.0,4.114367579549927
143,GAM,0.902,98.0,4.10526499640933
797,GAM,0.9,99.0,4.096162413268733
2130,GAM,0.897,100.0,4.082508538557837
505,GAM,0.896,101.0,4.0779572469875385
2259,GAM,0.894,102.0,4.068854663846941
2436,GAM,0.894,102.0,4.068854663846941
1748,GAM,0.892,104.0,4.059752080706344
1700,GAM,0.887,105.0,4.036995622854851
1692,GAM,0.884,106.0,4.023341748143955
1345,GAM,0.882,107.0,4.014239165003358
276,GAM,0.88,108.0,4.005136581862761
2432,GAM,0.877,109.0,3.991482707151865
1172,GAM,0.875,110.0,3.982380124011268
1853,GAM,0.872,111.0,3.968726249300372
877,GAM,0.857,112.0,3.9004568757458933
1960,GAM,0.855,113.0,3.8913542926052958
964,GAM,0.852,114.0,3.8777004178944003
117,GAM,0.849,115.0,3.8640465431835045
371,GAM,0.846,116.0,3.8503926684726086
2443,GAM,0.841,117.0,3.8276362106211157
679,GAM,0.84,118.0,3.823084919050817
2422,GAM,0.84,118.0,3.823084919050817
1871,GAM,0.836,120.0,3.8048797527696228
249,GAM,0.834,121.0,3.7957771696290252
2708,GAM,0.828,122.0,3.768469420207234
1503,GAM,0.826,123.0,3.7593668370666364
160,GAM,0.823,124.0,3.745712962355741
1192,GAM,0.823,124.0,3.745712962355741
740,GAM,0.818,126.0,3.722956504504248
127,GAM,0.817,127.0,3.7184052129339493
1012,GAM,0.812,128.0,3.695648755082457
2295,GAM,0.809,129.0,3.681994880371561
2593,GAM,0.808,130.0,3.6774435888012627
2633,GAM,0.808,130.0,3.6774435888012627
2159,GAM,0.806,132.0,3.668341005660665
1879,GAM,0.805,133.0,3.663789714090367
288,GAM,0.802,134.0,3.650135839379471
2309,GAM,0.802,134.0,3.650135839379471
431,GAM,0.798,136.0,3.6319306730982763
821,GAM,0.796,137.0,3.6228280899576792
844,GAM,0.795,138.0,3.6182767983873805
1847,GAM,0.794,139.0,3.613725506817082
2339,GAM,0.791,140.0,3.6000716321061863
382,GAM,0.789,141.0,3.590969048965589
476,GAM,0.789,141.0,3.590969048965589
1656,GAM,0.789,141.0,3.590969048965589
1746,GAM,0.788,144.0,3.5864177573952905
70,GAM,0.787,145.0,3.581866465824992
1406,GAM,0.784,146.0,3.5682125911140963
2030,GAM,0.784,146.0,3.5682125911140963
2538,GAM,0.784,146.0,3.5682125911140963
861,GAM,0.783,149.0,3.5636612995437975
2299,GAM,0.775,150.0,3.5272509669814087
1583,GAM,0.773,151.0,3.5181483838408116
1778,GAM,0.773,151.0,3.5181483838408116
302,GAM,0.771,153.0,3.5090458007002145
467,GAM,0.769,154.0,3.499943217559617
1277,GAM,0.766,155.0,3.4862893428487216
2689,GAM,0.765,156.0,3.481738051278423
369,GAM,0.762,157.0,3.468084176567527
2509,GAM,0.762,157.0,3.468084176567527
1019,GAM,0.761,159.0,3.4635328849972282
1558,GAM,0.76,160.0,3.45898159342693
287,GAM,0.759,161.0,3.454430301856631
1062,GAM,0.759,161.0,3.454430301856631
1314,GAM,0.757,163.0,3.445327718716034
1413,GAM,0.756,164.0,3.4407764271457353
2261,GAM,0.756,164.0,3.4407764271457353
1994,GAM,0.751,166.0,3.4180199692942423
320,GAM,0.748,167.0,3.4043660945833465
1212,GAM,0.748,167.0,3.4043660945833465
2224,GAM,0.745,169.0,3.390712219872451
1151,GAM,0.743,170.0,3.3816096367318536
507,GAM,0.742,171.0,3.3770583451615552
996,GAM,0.742,171.0,3.3770583451615552
2076,GAM,0.742,171.0,3.3770583451615552
484,GAM,0.74,174.0,3.3679557620209577
1523,GAM,0.738,175.0,3.3588531788803606
2651,GAM,0.737,176.0,3.3543018873100623
674,GAM,0.735,177.0,3.3451993041694648
408,GAM,0.732,178.0,3.3315454294585694
129,GAM,0.731,179.0,3.3269941378882706
688,GAM,0.73,180.0,3.322442846317972
1004,GAM,0.729,181.0,3.3178915547476735
2430,GAM,0.729,181.0,3.3178915547476735
2456,GAM,0.729,181.0,3.3178915547476735
2517,GAM,0.729,181.0,3.3178915547476735
1791,GAM,0.727,185.0,3.308788971607076
2161,GAM,0.727,185.0,3.308788971607076
2290,GAM,0.726,187.0,3.3042376800367776
2455,GAM,0.726,187.0,3.3042376800367776
1649,GAM,0.724,189.0,3.2951350968961806
818,GAM,0.723,190.0,3.290583805325882
1610,GAM,0.722,191.0,3.286032513755583
2298,GAM,0.722,191.0,3.286032513755583
1559,GAM,0.721,193.0,3.2814812221852847
1931,GAM,0.721,193.0,3.2814812221852847
1614,GAM,0.717,195.0,3.26327605590409
1264,GAM,0.716,196.0,3.2587247643337918
2612,GAM,0.715,197.0,3.254173472763493
775,GAM,0.713,198.0,3.245070889622896
951,GAM,0.708,199.0,3.222314431771403
1680,GAM,0.707,200.0,3.217763140201104
351,GAM,0.706,201.0,3.2132118486308054
1958,GAM,0.706,201.0,3.2132118486308054
1285,GAM,0.705,203.0,3.208660557060507
2662,GAM,0.705,203.0,3.208660557060507
1639,GAM,0.702,205.0,3.1950066823496113
2013,GAM,0.702,205.0,3.1950066823496113
1437,GAM,0.701,207.0,3.1904553907793125
2189,GAM,0.701,207.0,3.1904553907793125
