Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
900,GAM,1.712,1.0,8.692141273740994
1129,GAM,1.636,2.0,8.306275189159035
2300,GAM,1.479,3.0,7.509157093377881
193,GAM,1.423,4.0,7.224834715264857
2436,GAM,1.393,5.0,7.0725191555614515
96,GAM,1.368,6.0,6.945589522475281
1530,GAM,1.367,7.0,6.940512337151834
748,GAM,1.351,8.0,6.859277371976684
539,GAM,1.321,9.0,6.706961812273279
2188,GAM,1.317,10.0,6.686653070979491
2177,GAM,1.302,11.0,6.610495291127789
522,GAM,1.3,12.0,6.600340920480895
1910,GAM,1.29,13.0,6.549569067246427
2404,GAM,1.26,14.0,6.397253507543021
294,GAM,1.234,15.0,6.265246689133403
2648,GAM,1.206,16.0,6.123085500076892
885,GAM,1.147,17.0,5.8235315659935285
1837,GAM,1.144,18.0,5.808300010023188
2130,GAM,1.125,19.0,5.711833488877698
2583,GAM,1.115,20.0,5.661061635643229
511,GAM,1.101,21.0,5.5899810411149735
1758,GAM,1.098,22.0,5.5747494851446335
2422,GAM,1.066,23.0,5.412279554794334
2318,GAM,1.061,24.0,5.386893628177099
149,GAM,1.059,25.0,5.376739257530206
287,GAM,1.057,26.0,5.366584886883312
1169,GAM,1.047,27.0,5.315813033648844
1412,GAM,1.046,28.0,5.310735848325398
1172,GAM,1.044,29.0,5.300581477678504
2541,GAM,1.038,30.0,5.270118365737822
2758,GAM,1.037,31.0,5.265041180414375
556,GAM,1.028,32.0,5.219346512503354
1185,GAM,1.026,33.0,5.209192141856461
2486,GAM,1.02,34.0,5.178729029915779
527,GAM,1.011,35.0,5.133034362004757
2689,GAM,1.007,36.0,5.11272562071097
581,GAM,0.997,37.0,5.061953767476502
1749,GAM,0.991,38.0,5.031490655535821
951,GAM,0.99,39.0,5.026413470212374
1423,GAM,0.989,40.0,5.021336284888927
127,GAM,0.987,41.0,5.011181914242034
425,GAM,0.985,42.0,5.00102754359514
1649,GAM,0.984,43.0,4.995950358271693
2290,GAM,0.984,43.0,4.995950358271693
1121,GAM,0.98,45.0,4.975641616977906
2199,GAM,0.979,46.0,4.970564431654458
84,GAM,0.969,47.0,4.91979257841999
2259,GAM,0.969,47.0,4.91979257841999
1360,GAM,0.962,49.0,4.884252281155862
1428,GAM,0.957,50.0,4.858866354538628
1371,GAM,0.955,51.0,4.848711983891734
1476,GAM,0.955,51.0,4.848711983891734
2085,GAM,0.953,53.0,4.8385576132448405
606,GAM,0.952,54.0,4.833480427921394
2275,GAM,0.949,55.0,4.818248871951053
2731,GAM,0.943,56.0,4.787785760010372
959,GAM,0.936,57.0,4.752245462746245
2004,GAM,0.932,58.0,4.731936721452457
1009,GAM,0.93,59.0,4.721782350805563
1853,GAM,0.93,59.0,4.721782350805563
476,GAM,0.922,61.0,4.681164868217989
302,GAM,0.919,62.0,4.665933312247648
318,GAM,0.917,63.0,4.6557789416007545
2022,GAM,0.917,63.0,4.6557789416007545
2110,GAM,0.916,65.0,4.650701756277308
2724,GAM,0.907,66.0,4.605007088366286
1597,GAM,0.899,67.0,4.564389605778711
2612,GAM,0.899,67.0,4.564389605778711
1972,GAM,0.896,69.0,4.549158049808371
1040,GAM,0.895,70.0,4.544080864484924
2274,GAM,0.895,70.0,4.544080864484924
570,GAM,0.893,72.0,4.53392649383803
861,GAM,0.893,72.0,4.53392649383803
1692,GAM,0.893,72.0,4.53392649383803
2538,GAM,0.893,72.0,4.53392649383803
2584,GAM,0.892,76.0,4.528849308514584
1885,GAM,0.887,77.0,4.503463381897349
2209,GAM,0.887,77.0,4.503463381897349
1778,GAM,0.885,79.0,4.493309011250456
35,GAM,0.881,80.0,4.473000269956668
1277,GAM,0.881,80.0,4.473000269956668
1572,GAM,0.878,82.0,4.457768713986328
220,GAM,0.877,83.0,4.452691528662881
1697,GAM,0.876,84.0,4.447614343339434
775,GAM,0.871,85.0,4.4222284167221995
1484,GAM,0.871,85.0,4.4222284167221995
2432,GAM,0.855,87.0,4.3409934515470505
818,GAM,0.849,88.0,4.310530339606369
1010,GAM,0.848,89.0,4.305453154282922
2566,GAM,0.844,90.0,4.285144412989135
2047,GAM,0.843,91.0,4.280067227665688
2149,GAM,0.843,91.0,4.280067227665688
636,GAM,0.842,93.0,4.274990042342242
1663,GAM,0.842,93.0,4.274990042342242
1025,GAM,0.84,95.0,4.264835671695347
1377,GAM,0.84,95.0,4.264835671695347
183,GAM,0.836,97.0,4.24452693040156
1345,GAM,0.835,98.0,4.2394497450781135
307,GAM,0.831,99.0,4.219141003784326
297,GAM,0.83,100.0,4.214063818460879
679,GAM,0.828,101.0,4.203909447813985
970,GAM,0.827,102.0,4.198832262490538
1748,GAM,0.827,102.0,4.198832262490538
844,GAM,0.825,104.0,4.1886778918436445
1321,GAM,0.824,105.0,4.183600706520198
815,GAM,0.823,106.0,4.178523521196751
241,GAM,0.822,107.0,4.1734463358733045
255,GAM,0.821,108.0,4.168369150549857
1255,GAM,0.821,108.0,4.168369150549857
1871,GAM,0.821,108.0,4.168369150549857
2430,GAM,0.821,108.0,4.168369150549857
70,GAM,0.82,112.0,4.163291965226411
1114,GAM,0.819,113.0,4.158214779902964
955,GAM,0.818,114.0,4.153137594579517
2509,GAM,0.816,115.0,4.142983223932623
2029,GAM,0.815,116.0,4.137906038609176
740,GAM,0.813,117.0,4.127751667962283
39,GAM,0.811,118.0,4.117597297315389
1614,GAM,0.808,119.0,4.102365741345049
1096,GAM,0.807,120.0,4.097288556021602
2261,GAM,0.805,121.0,4.087134185374708
69,GAM,0.803,122.0,4.076979814727815
1361,GAM,0.803,122.0,4.076979814727815
