Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
900,GAM,1.83,1.0,7.726051419725218
2300,GAM,1.801,2.0,7.6036167250956925
522,GAM,1.739,3.0,7.341859791749812
1129,GAM,1.734,4.0,7.320750361641272
2648,GAM,1.732,5.0,7.312306589597856
1910,GAM,1.653,6.0,6.978777593882943
96,GAM,1.621,7.0,6.843677241188295
539,GAM,1.619,8.0,6.835233469144879
2188,GAM,1.599,9.0,6.750795748710723
2085,GAM,1.576,10.0,6.653692370211445
1749,GAM,1.567,11.0,6.615695396016075
2318,GAM,1.558,12.0,6.577698421820705
2541,GAM,1.531,13.0,6.463707499234594
294,GAM,1.529,14.0,6.455263727191179
2004,GAM,1.506,15.0,6.358160348691901
2486,GAM,1.488,16.0,6.282166400301161
2177,GAM,1.484,17.0,6.26527885621433
2724,GAM,1.479,18.0,6.244169426105791
1837,GAM,1.465,19.0,6.1850630218018825
2436,GAM,1.414,20.0,5.969746834694786
748,GAM,1.393,21.0,5.881087228238923
1009,GAM,1.389,22.0,5.864199684152092
2274,GAM,1.36,23.0,5.741764989522567
1972,GAM,1.359,24.0,5.737543103500858
307,GAM,1.353,25.0,5.712211787370612
1530,GAM,1.326,26.0,5.598220864784502
193,GAM,1.32,27.0,5.572889548654256
1697,GAM,1.317,28.0,5.560223890589132
2404,GAM,1.316,29.0,5.556002004567425
2583,GAM,1.305,30.0,5.509561258328639
1010,GAM,1.28,31.0,5.404014107785945
2130,GAM,1.276,32.0,5.3871265636991135
1377,GAM,1.262,33.0,5.328020159395205
476,GAM,1.249,34.0,5.273135641113004
581,GAM,1.249,34.0,5.273135641113004
1169,GAM,1.248,36.0,5.268913755091297
1885,GAM,1.247,37.0,5.264691869069589
2158,GAM,1.228,38.0,5.18447603465714
1892,GAM,1.226,39.0,5.176032262613726
100,GAM,1.22,40.0,5.150700946483479
1484,GAM,1.219,41.0,5.146479060461771
318,GAM,1.205,42.0,5.0873726561578625
527,GAM,1.204,43.0,5.083150770136154
1597,GAM,1.183,44.0,4.994491163680292
1355,GAM,1.18,45.0,4.981825505615167
1853,GAM,1.18,45.0,4.981825505615167
2584,GAM,1.179,47.0,4.97760361959346
679,GAM,1.162,48.0,4.9058315572244275
1681,GAM,1.159,49.0,4.893165899159305
636,GAM,1.158,50.0,4.888944013137596
606,GAM,1.153,51.0,4.867834583029058
1121,GAM,1.152,52.0,4.86361269700735
885,GAM,1.14,53.0,4.812950064746857
1423,GAM,1.14,53.0,4.812950064746857
815,GAM,1.138,55.0,4.804506292703441
70,GAM,1.135,56.0,4.791840634638318
84,GAM,1.132,57.0,4.779174976573194
2259,GAM,1.129,58.0,4.766509318508072
1572,GAM,1.128,59.0,4.762287432486364
1871,GAM,1.127,60.0,4.758065546464656
2047,GAM,1.127,60.0,4.758065546464656
1360,GAM,1.109,62.0,4.682071598073916
2731,GAM,1.107,63.0,4.673627826030501
2209,GAM,1.104,64.0,4.660962167965378
1185,GAM,1.103,65.0,4.656740281943669
1371,GAM,1.102,66.0,4.6525183959219625
149,GAM,1.099,67.0,4.639852737856838
1476,GAM,1.099,67.0,4.639852737856838
1412,GAM,1.094,69.0,4.6187433077483
1758,GAM,1.085,70.0,4.58074633355293
2110,GAM,1.083,71.0,4.572302561509514
1243,GAM,1.081,72.0,4.5638587894660985
2275,GAM,1.072,73.0,4.525861815270729
570,GAM,1.067,74.0,4.50475238516219
1040,GAM,1.06,75.0,4.475199183010236
2076,GAM,1.06,75.0,4.475199183010236
2432,GAM,1.057,77.0,4.462533524945112
220,GAM,1.056,78.0,4.458311638923405
1172,GAM,1.049,79.0,4.428758436771449
1729,GAM,1.044,80.0,4.407649006662911
2029,GAM,1.037,81.0,4.378095804510957
1692,GAM,1.036,82.0,4.37387391848925
297,GAM,1.027,83.0,4.3358769442938785
1192,GAM,1.024,84.0,4.323211286228756
1614,GAM,1.02,85.0,4.306323742141925
1778,GAM,1.012,86.0,4.272548653968263
255,GAM,1.011,87.0,4.268326767946554
2690,GAM,1.006,88.0,4.247217337838016
371,GAM,1.001,89.0,4.226107907729476
69,GAM,0.999,90.0,4.217664135686062
306,GAM,0.998,91.0,4.213442249664354
561,GAM,0.998,91.0,4.213442249664354
1503,GAM,0.998,91.0,4.213442249664354
2443,GAM,0.996,94.0,4.204998477620938
287,GAM,0.993,95.0,4.192332819555815
1518,GAM,0.992,96.0,4.188110933534107
1406,GAM,0.981,97.0,4.141670187295322
1151,GAM,0.979,98.0,4.133226415251906
183,GAM,0.977,99.0,4.124782643208491
1746,GAM,0.977,99.0,4.124782643208491
1314,GAM,0.976,101.0,4.120560757186783
1958,GAM,0.974,102.0,4.112116985143367
2422,GAM,0.969,103.0,4.091007555034828
1321,GAM,0.967,104.0,4.0825637829914125
302,GAM,0.957,105.0,4.040344922774335
1469,GAM,0.957,105.0,4.040344922774335
2022,GAM,0.955,107.0,4.03190115073092
1070,GAM,0.954,108.0,4.027679264709212
511,GAM,0.952,109.0,4.019235492665796
865,GAM,0.952,109.0,4.019235492665796
288,GAM,0.946,111.0,3.99390417653555
2149,GAM,0.938,112.0,3.9601290883618874
1011,GAM,0.933,113.0,3.939019658253349
775,GAM,0.932,114.0,3.9347977722316414
2612,GAM,0.929,115.0,3.922132114166518
2497,GAM,0.926,116.0,3.9094664561013945
2609,GAM,0.925,117.0,3.9052445700796867
951,GAM,0.923,118.0,3.8968007980362716
