Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
900,GAM,2.364,1.0,11.58628076820123
522,GAM,1.854,2.0,9.086702429883706
1910,GAM,1.747,3.0,8.562281092236697
96,GAM,1.739,4.0,8.523072020263088
2188,GAM,1.698,5.0,8.322125526398345
2584,GAM,1.595,6.0,7.817308724738139
2300,GAM,1.516,7.0,7.430119138998759
1129,GAM,1.415,8.0,6.935104605331955
2404,GAM,1.353,9.0,6.631234297536491
1697,GAM,1.312,10.0,6.4302878036717495
318,GAM,1.3,11.0,6.371474195711337
1530,GAM,1.249,12.0,6.121516361879585
2436,GAM,1.238,13.0,6.0676038879158725
193,GAM,1.234,14.0,6.047999351929069
307,GAM,1.231,15.0,6.0332959499389665
2047,GAM,1.213,16.0,5.945075537998347
2110,GAM,1.203,17.0,5.896064198031337
748,GAM,1.198,18.0,5.8715585280478315
1681,GAM,1.186,19.0,5.812744920087419
2158,GAM,1.166,20.0,5.714722240153399
294,GAM,1.156,21.0,5.665710900186388
100,GAM,1.145,22.0,5.611798426222677
1010,GAM,1.13,23.0,5.538281416272161
69,GAM,1.127,24.0,5.523578014282059
679,GAM,1.11,25.0,5.440258736338142
539,GAM,1.105,26.0,5.415753066354636
1871,GAM,1.102,27.0,5.401049664364534
955,GAM,1.097,28.0,5.376543994381028
1749,GAM,1.084,29.0,5.3128292524239145
149,GAM,1.082,30.0,5.303026984430513
2130,GAM,1.075,31.0,5.268719046453605
2318,GAM,1.067,32.0,5.229509974479996
2004,GAM,1.062,33.0,5.205004304496492
476,GAM,1.054,34.0,5.165795232522884
1009,GAM,1.054,34.0,5.165795232522884
35,GAM,1.035,36.0,5.0726736865855635
2085,GAM,1.032,37.0,5.057970284595461
70,GAM,1.027,38.0,5.0334646146119555
2648,GAM,1.027,38.0,5.0334646146119555
2690,GAM,1.022,40.0,5.008958944628451
2724,GAM,1.022,40.0,5.008958944628451
1972,GAM,1.021,42.0,5.00405781063175
2259,GAM,1.015,43.0,4.974651006651543
288,GAM,1.012,44.0,4.959947604661441
1758,GAM,1.009,45.0,4.945244202671337
2274,GAM,1.009,45.0,4.945244202671337
1476,GAM,1.004,47.0,4.920738532687833
2583,GAM,0.994,48.0,4.871727192720822
1885,GAM,0.992,49.0,4.86192492472742
