Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
1129,GAM,1.962,1.0,8.526967854180661
2300,GAM,1.827,2.0,7.940249882562726
2648,GAM,1.791,3.0,7.783791756797943
1697,GAM,1.761,4.0,7.653409985327291
307,GAM,1.693,5.0,7.357877969993813
2130,GAM,1.674,6.0,7.275302848062399
522,GAM,1.639,7.0,7.123190781346638
900,GAM,1.637,8.0,7.114498663248595
2177,GAM,1.612,9.0,7.005847187023051
193,GAM,1.567,10.0,6.810274529817073
96,GAM,1.548,11.0,6.72769940788566
1749,GAM,1.501,12.0,6.523434632581637
1681,GAM,1.486,13.0,6.458243746846311
2318,GAM,1.485,14.0,6.45389768779729
2188,GAM,1.466,15.0,6.371322565865876
2110,GAM,1.45,16.0,6.301785621081528
1169,GAM,1.445,17.0,6.28005532583642
2436,GAM,1.435,18.0,6.236594735346203
35,GAM,1.42,19.0,6.1714038496108765
581,GAM,1.416,20.0,6.154019613414789
2541,GAM,1.399,21.0,6.0801366095814195
1423,GAM,1.389,22.0,6.036676019091202
287,GAM,1.368,23.0,5.945408779061746
1729,GAM,1.348,24.0,5.858487598081311
1371,GAM,1.34,25.0,5.823719125689137
294,GAM,1.327,26.0,5.767220358051854
1476,GAM,1.313,27.0,5.706375531365549
539,GAM,1.31,28.0,5.693337354218484
2085,GAM,1.308,29.0,5.684645236120441
2004,GAM,1.303,30.0,5.662914940875332
2724,GAM,1.287,31.0,5.593377996090984
1597,GAM,1.283,32.0,5.575993759894897
1530,GAM,1.256,33.0,5.45865016557131
1360,GAM,1.254,34.0,5.449958047473267
1910,GAM,1.249,35.0,5.428227752228159
1837,GAM,1.245,36.0,5.410843516032072
1040,GAM,1.233,37.0,5.358690807443811
84,GAM,1.218,38.0,5.293499921708484
1484,GAM,1.212,39.0,5.267423567414354
2209,GAM,1.211,40.0,5.263077508365332
220,GAM,1.204,41.0,5.23265509502218
2404,GAM,1.195,42.0,5.193540563580984
606,GAM,1.188,43.0,5.163118150237832
1892,GAM,1.185,44.0,5.150079973090767
1572,GAM,1.181,45.0,5.1326957368946795
2583,GAM,1.172,46.0,5.093581205453484
955,GAM,1.166,47.0,5.067504851159353
527,GAM,1.158,48.0,5.032736378767179
1243,GAM,1.155,49.0,5.019698201620114
2690,GAM,1.149,50.0,4.993621847325984
318,GAM,1.143,51.0,4.967545493031853
1172,GAM,1.13,52.0,4.91104672539457
1345,GAM,1.12,53.0,4.867586134904354
748,GAM,1.113,54.0,4.837163721561201
1121,GAM,1.11,55.0,4.824125544414136
476,GAM,1.102,56.0,4.7893570720219625
1070,GAM,1.098,57.0,4.771972835825875
2149,GAM,1.095,58.0,4.758934658678809
425,GAM,1.092,59.0,4.745896481531744
302,GAM,1.091,60.0,4.741550422482723
2259,GAM,1.083,61.0,4.706781950090549
1972,GAM,1.062,62.0,4.615514710061093
2309,GAM,1.062,62.0,4.615514710061093
511,GAM,1.061,64.0,4.61116865101207
1649,GAM,1.058,65.0,4.598130473865005
1354,GAM,1.057,66.0,4.593784414815983
1778,GAM,1.057,66.0,4.593784414815983
570,GAM,1.055,68.0,4.5850922967179395
1885,GAM,1.054,69.0,4.580746237668919
761,GAM,1.053,70.0,4.576400178619896
1009,GAM,1.052,71.0,4.572054119570875
2344,GAM,1.05,72.0,4.563362001472831
2486,GAM,1.048,73.0,4.554669883374788
1652,GAM,1.044,74.0,4.537285647178701
39,GAM,1.036,75.0,4.502517174786527
1692,GAM,1.035,76.0,4.498171115737505
1748,GAM,1.026,77.0,4.4590565842963095
2584,GAM,1.024,78.0,4.450364466198266
