Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
522,GAM,1.98,1.0,9.019073529822403
96,GAM,1.88,2.0,8.563564765689959
2188,GAM,1.803,3.0,8.212823017307977
900,GAM,1.74,4.0,7.925852495904537
1697,GAM,1.719,5.0,7.830195655436724
307,GAM,1.678,6.0,7.6434370621424215
2004,GAM,1.601,7.0,7.292695313760439
2318,GAM,1.588,8.0,7.233479174423222
2085,GAM,1.573,9.0,7.165152859803355
1749,GAM,1.566,10.0,7.133267246314084
1681,GAM,1.54,11.0,7.014834967639648
2724,GAM,1.539,12.0,7.010279879998323
1972,GAM,1.497,13.0,6.8189661990626975
1009,GAM,1.492,14.0,6.796190760856074
2274,GAM,1.48,15.0,6.741529709160181
2584,GAM,1.478,16.0,6.732419533877532
2300,GAM,1.462,17.0,6.6595381316163405
1910,GAM,1.351,18.0,6.153923403429327
294,GAM,1.344,19.0,6.122037789940056
2177,GAM,1.343,20.0,6.117482702298732
1729,GAM,1.342,21.0,6.112927614657408
318,GAM,1.31,22.0,5.967164810135025
1885,GAM,1.308,23.0,5.958054634852377
2648,GAM,1.298,24.0,5.912503758439132
2259,GAM,1.296,25.0,5.903393583156483
193,GAM,1.253,26.0,5.707524814579531
1837,GAM,1.25,27.0,5.693859551655558
606,GAM,1.228,28.0,5.5936476235464205
2583,GAM,1.226,29.0,5.584537448263771
84,GAM,1.208,30.0,5.502545870719931
287,GAM,1.206,31.0,5.493435695437283
2047,GAM,1.206,31.0,5.493435695437283
748,GAM,1.177,33.0,5.361338153838874
100,GAM,1.166,34.0,5.311232189784304
539,GAM,1.153,35.0,5.252016050447087
2158,GAM,1.153,35.0,5.252016050447087
1597,GAM,1.152,37.0,5.2474609628057625
1129,GAM,1.143,38.0,5.206465174033842
1530,GAM,1.139,39.0,5.188244823468545
2110,GAM,1.139,39.0,5.188244823468545
2130,GAM,1.138,41.0,5.18368973582722
2404,GAM,1.131,42.0,5.151804122337949
1371,GAM,1.126,43.0,5.129028684131327
1360,GAM,1.112,44.0,5.065257457152785
1476,GAM,1.107,45.0,5.0424820189461625
2541,GAM,1.104,46.0,5.02881675602219
1169,GAM,1.101,47.0,5.015151493098216
1377,GAM,1.096,48.0,4.992376054891594
1758,GAM,1.087,49.0,4.951380266119673
955,GAM,1.086,50.0,4.946825178478349
581,GAM,1.084,51.0,4.9377150031957004
1572,GAM,1.083,52.0,4.933159915554375
1423,GAM,1.08,53.0,4.919494652630402
149,GAM,1.075,54.0,4.89671921442378
