Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
900,GAM,2.853,1.0,12.762196166676867
1910,GAM,2.051,2.0,9.174645754593149
1749,GAM,1.948,3.0,8.713900502168432
2318,GAM,1.92,4.0,8.588649365586955
2004,GAM,1.832,5.0,8.195002936330887
2085,GAM,1.803,6.0,8.0652785448715
2724,GAM,1.728,7.0,7.72978442902826
1697,GAM,1.687,8.0,7.546380979033955
511,GAM,1.682,9.0,7.524014704644405
1172,GAM,1.643,10.0,7.349557764405921
522,GAM,1.519,11.0,6.794874159545096
307,GAM,1.514,12.0,6.772507885155547
96,GAM,1.51,13.0,6.754614865643908
2300,GAM,1.45,14.0,6.486219572969315
2110,GAM,1.433,15.0,6.410174240044848
2188,GAM,1.432,16.0,6.405700985166937
1681,GAM,1.43,17.0,6.396754475411117
2690,GAM,1.347,18.0,6.025474320544598
1885,GAM,1.278,19.0,5.716819733968817
425,GAM,1.265,20.0,5.658667420555989
1070,GAM,1.265,20.0,5.658667420555989
748,GAM,1.253,22.0,5.60498836202107
1010,GAM,1.248,23.0,5.582622087631521
1530,GAM,1.246,24.0,5.573675577875701
1377,GAM,1.243,25.0,5.560255813241972
35,GAM,1.226,26.0,5.484210480317504
885,GAM,1.219,27.0,5.452897696172135
955,GAM,1.216,28.0,5.439477931538405
1729,GAM,1.196,29.0,5.350012833980207
1169,GAM,1.188,30.0,5.314226794956928
1972,GAM,1.185,31.0,5.300807030323199
1423,GAM,1.179,32.0,5.27396750105574
1649,GAM,1.178,33.0,5.269494246177829
1009,GAM,1.16,34.0,5.188975658375452
1371,GAM,1.159,35.0,5.184502403497542
636,GAM,1.158,36.0,5.180029148619632
2259,GAM,1.136,37.0,5.081617541305615
2486,GAM,1.132,38.0,5.063724521793975
761,GAM,1.13,39.0,5.054778012038155
815,GAM,1.128,40.0,5.0458315022823355
2436,GAM,1.127,41.0,5.0413582474044265
294,GAM,1.123,42.0,5.023465227892787
1129,GAM,1.123,42.0,5.023465227892787
2274,GAM,1.118,44.0,5.001098953503238
69,GAM,1.117,45.0,4.996625698625327
2149,GAM,1.112,46.0,4.974259424235779
1597,GAM,1.087,47.0,4.862428052288031
1476,GAM,1.061,48.0,4.7461234254623745
1360,GAM,1.06,49.0,4.741650170584465
84,GAM,1.057,50.0,4.728230405950735
2443,GAM,1.054,51.0,4.714810641317006
2158,GAM,1.053,52.0,4.710337386439096
1345,GAM,1.049,53.0,4.692444366927456
39,GAM,1.046,54.0,4.679024602293727
1025,GAM,1.043,55.0,4.665604837659997
1484,GAM,1.042,56.0,4.661131582782088
2422,GAM,1.035,57.0,4.629818798636718
2209,GAM,1.034,58.0,4.625345543758808
1255,GAM,1.023,59.0,4.576139740101799
1837,GAM,1.018,60.0,4.553773465712251
1040,GAM,1.017,61.0,4.54930021083434
1468,GAM,1.013,62.0,4.5314071913227005
581,GAM,1.012,63.0,4.526933936444791
1406,GAM,1.005,64.0,4.495621152299422
2130,GAM,1.004,65.0,4.491147897421512
2404,GAM,1.004,65.0,4.491147897421512
2584,GAM,1.004,65.0,4.491147897421512
220,GAM,1.003,68.0,4.486674642543601
100,GAM,1.002,69.0,4.482201387665692
306,GAM,1.0,70.0,4.473254877909873
1793,GAM,0.999,71.0,4.468781623031963
2257,GAM,0.997,72.0,4.459835113276143
1238,GAM,0.987,73.0,4.415102564497044
193,GAM,0.984,74.0,4.401682799863314
318,GAM,0.981,75.0,4.388263035229585
127,GAM,0.978,76.0,4.374843270595855
1114,GAM,0.978,76.0,4.374843270595855
606,GAM,0.976,78.0,4.365896760840036
1354,GAM,0.973,79.0,4.352476996206306
410,GAM,0.965,80.0,4.3166909571830265
1469,GAM,0.965,80.0,4.3166909571830265
1652,GAM,0.965,80.0,4.3166909571830265
249,GAM,0.96,83.0,4.294324682793477
1142,GAM,0.96,83.0,4.294324682793477
437,GAM,0.958,85.0,4.285378173037658
1692,GAM,0.958,85.0,4.285378173037658
2344,GAM,0.955,87.0,4.271958408403928
2047,GAM,0.952,88.0,4.258538643770199
964,GAM,0.948,89.0,4.240645624258559
1121,GAM,0.948,89.0,4.240645624258559
2583,GAM,0.945,91.0,4.227225859624829
1096,GAM,0.938,92.0,4.19591307547946
2177,GAM,0.937,93.0,4.191439820601551
1412,GAM,0.928,94.0,4.151180526700362
297,GAM,0.924,95.0,4.133287507188722
476,GAM,0.924,95.0,4.133287507188722
1428,GAM,0.923,97.0,4.1288142523108124
149,GAM,0.909,98.0,4.066188684020074
2030,GAM,0.907,99.0,4.057242174264254
