Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
900,GAM,1.701,1.0,7.999950369639481
522,GAM,1.664,2.0,7.825936164068251
2318,GAM,1.661,3.0,7.811826904157071
2724,GAM,1.641,4.0,7.717765171415866
2300,GAM,1.598,5.0,7.515532446022275
2085,GAM,1.566,6.0,7.365033673636348
96,GAM,1.56,7.0,7.336815153813986
2004,GAM,1.522,8.0,7.158097861605697
1972,GAM,1.507,9.0,7.087551562049792
2188,GAM,1.501,10.0,7.059333042227431
1009,GAM,1.489,11.0,7.002896002582709
1749,GAM,1.489,11.0,7.002896002582709
294,GAM,1.466,13.0,6.894725009930323
2259,GAM,1.443,14.0,6.786554017277937
2274,GAM,1.442,15.0,6.781850930640877
1476,GAM,1.398,16.0,6.5749151186102255
1423,GAM,1.373,17.0,6.457337952683719
1837,GAM,1.37,18.0,6.443228692772539
2436,GAM,1.37,18.0,6.443228692772539
1169,GAM,1.367,20.0,6.429119432861358
511,GAM,1.336,21.0,6.283323747112491
2404,GAM,1.31,22.0,6.161043494548925
127,GAM,1.308,23.0,6.151637321274804
1172,GAM,1.303,24.0,6.128121888089502
307,GAM,1.288,25.0,6.057575588533599
1910,GAM,1.284,26.0,6.038763241985357
1371,GAM,1.265,27.0,5.949404595881212
1530,GAM,1.265,27.0,5.949404595881212
1360,GAM,1.25,29.0,5.878858296325309
1885,GAM,1.245,30.0,5.855342863140009
748,GAM,1.202,31.0,5.653110137746417
1697,GAM,1.199,32.0,5.639000877835237
1129,GAM,1.189,33.0,5.5919700114646345
1377,GAM,1.154,34.0,5.427361979167525
2584,GAM,1.149,35.0,5.4038465459822245
425,GAM,1.115,36.0,5.2439416003221755
2209,GAM,1.113,37.0,5.234535427048055
1040,GAM,1.107,38.0,5.206316907225694
1649,GAM,1.103,39.0,5.187504560677453
35,GAM,1.074,40.0,5.051115048202706
539,GAM,1.069,41.0,5.0275996150174045
2149,GAM,1.063,42.0,4.999381095195043
1892,GAM,1.054,43.0,4.957053315461501
2486,GAM,1.05,44.0,4.93824096891326
193,GAM,1.047,45.0,4.924131709002078
951,GAM,1.043,46.0,4.905319362453838
306,GAM,1.036,47.0,4.872397755994417
815,GAM,1.036,47.0,4.872397755994417
2541,GAM,1.034,49.0,4.862991582720296
636,GAM,1.032,50.0,4.8535854094461754
2758,GAM,1.032,50.0,4.8535854094461754
556,GAM,1.028,52.0,4.834773062897934
2177,GAM,1.023,53.0,4.811257629712633
1758,GAM,1.021,54.0,4.801851456438512
2690,GAM,1.021,54.0,4.801851456438512
2443,GAM,1.019,56.0,4.792445283164391
1469,GAM,1.002,57.0,4.712492810334368
2432,GAM,0.998,58.0,4.6936804637861265
527,GAM,0.996,59.0,4.684274290512007
1185,GAM,0.996,59.0,4.684274290512007
2110,GAM,0.994,61.0,4.674868117237886
149,GAM,0.992,62.0,4.6654619439637655
1681,GAM,0.989,63.0,4.6513526840525845
1121,GAM,0.988,64.0,4.646649597415524
476,GAM,0.98,65.0,4.6090249043190425
249,GAM,0.971,66.0,4.5666971245855
318,GAM,0.967,67.0,4.547884778037259
2160,GAM,0.967,67.0,4.547884778037259
84,GAM,0.964,69.0,4.533775518126078
1070,GAM,0.963,70.0,4.529072431489018
1484,GAM,0.963,70.0,4.529072431489018
1428,GAM,0.96,72.0,4.514963171577837
1010,GAM,0.957,73.0,4.500853911666656
2290,GAM,0.956,74.0,4.496150825029597
2158,GAM,0.954,75.0,4.486744651755476
1406,GAM,0.953,76.0,4.482041565118416
1729,GAM,0.952,77.0,4.4773384784813555
2583,GAM,0.95,78.0,4.467932305207235
168,GAM,0.948,79.0,4.458526131933114
1700,GAM,0.948,79.0,4.458526131933114
2731,GAM,0.948,79.0,4.458526131933114
160,GAM,0.946,82.0,4.449119958658994
410,GAM,0.938,83.0,4.411495265562512
1412,GAM,0.93,84.0,4.37387057246603
2344,GAM,0.93,84.0,4.37387057246603
297,GAM,0.929,86.0,4.36916748582897
2047,GAM,0.927,87.0,4.359761312554849
1853,GAM,0.926,88.0,4.355058225917789
1572,GAM,0.925,89.0,4.350355139280729
1012,GAM,0.921,90.0,4.331542792732488
1354,GAM,0.92,91.0,4.326839706095428
638,GAM,0.918,92.0,4.317433532821307
1994,GAM,0.918,92.0,4.317433532821307
1652,GAM,0.917,94.0,4.312730446184247
761,GAM,0.908,95.0,4.270402666450705
606,GAM,0.907,96.0,4.265699579813645
740,GAM,0.906,97.0,4.2609964931765845
2648,GAM,0.9,98.0,4.232777973354223
1413,GAM,0.896,99.0,4.213965626805981
1663,GAM,0.896,99.0,4.213965626805981
570,GAM,0.895,101.0,4.209262540168922
241,GAM,0.892,102.0,4.195153280257741
844,GAM,0.892,102.0,4.195153280257741
467,GAM,0.891,104.0,4.190450193620681
176,GAM,0.888,105.0,4.1763409337095
955,GAM,0.888,105.0,4.1763409337095
877,GAM,0.886,107.0,4.166934760435379
2509,GAM,0.882,108.0,4.148122413887139
655,GAM,0.88,109.0,4.138716240613018
714,GAM,0.878,110.0,4.129310067338897
2130,GAM,0.878,110.0,4.129310067338897
339,GAM,0.877,112.0,4.124606980701837
837,GAM,0.876,113.0,4.119903894064777
220,GAM,0.864,114.0,4.063466854420054
2422,GAM,0.86,115.0,4.044654507871813
183,GAM,0.858,116.0,4.035248334597692
2295,GAM,0.855,117.0,4.021139074686511
100,GAM,0.854,118.0,4.016435988049452
1610,GAM,0.854,118.0,4.016435988049452
1879,GAM,0.853,120.0,4.011732901412391
2689,GAM,0.852,121.0,4.007029814775331
1597,GAM,0.849,122.0,3.99292055486415
2022,GAM,0.848,123.0,3.9882174682270897
2261,GAM,0.848,123.0,3.9882174682270897
885,GAM,0.841,125.0,3.955295861767668
561,GAM,0.84,126.0,3.9505927751306076
505,GAM,0.839,127.0,3.9458896884935473
2708,GAM,0.839,127.0,3.9458896884935473
1778,GAM,0.836,129.0,3.9317804285823668
1151,GAM,0.834,130.0,3.922374255308246
2455,GAM,0.829,131.0,3.898858822122945
861,GAM,0.828,132.0,3.8941557354858847
1243,GAM,0.828,132.0,3.8941557354858847
1311,GAM,0.824,134.0,3.8753433889376434
276,GAM,0.821,135.0,3.861234129026463
856,GAM,0.819,136.0,3.8518279557523423
1277,GAM,0.819,136.0,3.8518279557523423
2090,GAM,0.819,136.0,3.8518279557523423
1692,GAM,0.812,139.0,3.818906349292921
287,GAM,0.806,140.0,3.7906878294705595
2029,GAM,0.806,140.0,3.7906878294705595
2255,GAM,0.806,140.0,3.7906878294705595
320,GAM,0.804,143.0,3.7812816561964393
688,GAM,0.803,144.0,3.776578569559379
1355,GAM,0.802,145.0,3.7718754829223187
2609,GAM,0.802,145.0,3.7718754829223187
2339,GAM,0.801,147.0,3.7671723962852584
39,GAM,0.798,148.0,3.7530631363740774
1096,GAM,0.794,149.0,3.7342507898258366
1468,GAM,0.791,150.0,3.7201415299146556
2030,GAM,0.79,151.0,3.7154384432775958
797,GAM,0.788,152.0,3.706032270003475
1114,GAM,0.787,153.0,3.701329183366415
1931,GAM,0.787,153.0,3.701329183366415
129,GAM,0.784,155.0,3.6872199234552343
2199,GAM,0.782,156.0,3.6778137501811137
2651,GAM,0.781,157.0,3.6731106635440534
1025,GAM,0.778,158.0,3.6590014036328724
1142,GAM,0.778,158.0,3.6590014036328724
382,GAM,0.777,160.0,3.6542983169958125
1238,GAM,0.776,161.0,3.649595230358752
1549,GAM,0.775,162.0,3.644892143721692
1639,GAM,0.774,163.0,3.6401890570846316
1793,GAM,0.771,164.0,3.6260797971734506
302,GAM,0.77,165.0,3.6213767105363908
581,GAM,0.77,165.0,3.6213767105363908
351,GAM,0.765,167.0,3.597861277351089
2257,GAM,0.764,168.0,3.593158190714029
437,GAM,0.763,169.0,3.588455104076969
1690,GAM,0.763,169.0,3.588455104076969
818,GAM,0.761,171.0,3.5790489308028484
1255,GAM,0.761,171.0,3.5790489308028484
1518,GAM,0.761,171.0,3.5790489308028484
1437,GAM,0.76,174.0,3.574345844165788
2161,GAM,0.756,175.0,3.5555334976175472
2224,GAM,0.756,175.0,3.5555334976175472
402,GAM,0.754,177.0,3.5461273243434266
69,GAM,0.753,178.0,3.5414242377063663
2497,GAM,0.751,179.0,3.5320180644322456
1920,GAM,0.75,180.0,3.5273149777951853
2284,GAM,0.75,180.0,3.5273149777951853
2538,GAM,0.75,180.0,3.5273149777951853
775,GAM,0.749,183.0,3.5226118911581255
1680,GAM,0.749,183.0,3.5226118911581255
1011,GAM,0.746,185.0,3.5085026312469445
369,GAM,0.743,186.0,3.4943933713357636
2227,GAM,0.743,186.0,3.4943933713357636
429,GAM,0.742,188.0,3.4896902846987037
878,GAM,0.742,188.0,3.4896902846987037
1264,GAM,0.742,188.0,3.4896902846987037
2430,GAM,0.74,191.0,3.480284111424583
1523,GAM,0.739,192.0,3.4755810247875227
2517,GAM,0.739,192.0,3.4755810247875227
1526,GAM,0.738,194.0,3.4708779381504624
484,GAM,0.731,195.0,3.4379563316910406
2456,GAM,0.731,195.0,3.4379563316910406
2210,GAM,0.729,197.0,3.4285501584169205
194,GAM,0.726,198.0,3.4144408985057395
371,GAM,0.724,199.0,3.405034725231619
288,GAM,0.72,200.0,3.386222378683378
970,GAM,0.719,201.0,3.3815192920463177
1144,GAM,0.718,202.0,3.3768162054092574
843,GAM,0.717,203.0,3.372113118772197
1192,GAM,0.716,204.0,3.367410032135137
1559,GAM,0.713,205.0,3.3533007722239563
2010,GAM,0.713,205.0,3.3533007722239563
1958,GAM,0.712,207.0,3.348597685586896
2515,GAM,0.712,207.0,3.348597685586896
850,GAM,0.71,209.0,3.3391915123127753
1794,GAM,0.71,209.0,3.3391915123127753
509,GAM,0.709,211.0,3.334488425675715
1361,GAM,0.709,211.0,3.334488425675715
920,GAM,0.705,213.0,3.315676079127474
1825,GAM,0.705,213.0,3.315676079127474
1314,GAM,0.704,215.0,3.310972992490414
427,GAM,0.703,216.0,3.3062699058533536
2309,GAM,0.702,217.0,3.3015668192162932
1923,GAM,0.701,218.0,3.2968637325792334
1321,GAM,0.7,219.0,3.292160645942173
996,GAM,0.699,220.0,3.2874575593051127
1019,GAM,0.699,220.0,3.2874575593051127
1764,GAM,0.696,222.0,3.273348299393932
1791,GAM,0.694,223.0,3.2639421261198116
959,GAM,0.693,224.0,3.2592390394827513
1212,GAM,0.693,224.0,3.2592390394827513
1849,GAM,0.693,224.0,3.2592390394827513
2660,GAM,0.693,224.0,3.2592390394827513
1688,GAM,0.692,228.0,3.254535952845691
2211,GAM,0.692,228.0,3.254535952845691
664,GAM,0.689,230.0,3.24042669293451
1924,GAM,0.688,231.0,3.23572360629745
2475,GAM,0.688,231.0,3.23572360629745
74,GAM,0.686,233.0,3.22631743302333
1147,GAM,0.685,234.0,3.2216143463862696
2578,GAM,0.685,234.0,3.2216143463862696
214,GAM,0.684,236.0,3.2169112597492093
75,GAM,0.683,237.0,3.212208173112149
865,GAM,0.683,237.0,3.212208173112149
293,GAM,0.682,239.0,3.207505086475089
1847,GAM,0.681,240.0,3.202801999838029
2189,GAM,0.68,241.0,3.1980989132009685
1502,GAM,0.679,242.0,3.193395826563908
1601,GAM,0.679,242.0,3.193395826563908
1779,GAM,0.679,242.0,3.193395826563908
262,GAM,0.676,245.0,3.1792865666527272
1062,GAM,0.676,245.0,3.1792865666527272
2076,GAM,0.676,245.0,3.1792865666527272
38,GAM,0.675,248.0,3.1745834800156674
601,GAM,0.675,248.0,3.1745834800156674
1754,GAM,0.674,250.0,3.169880393378607
569,GAM,0.673,251.0,3.1651773067415467
586,GAM,0.673,251.0,3.1651773067415467
2275,GAM,0.673,251.0,3.1651773067415467
117,GAM,0.671,254.0,3.155771133467426
1109,GAM,0.671,254.0,3.155771133467426
1614,GAM,0.671,254.0,3.155771133467426
1503,GAM,0.67,257.0,3.151068046830366
1220,GAM,0.669,258.0,3.1463649601933055
1419,GAM,0.669,258.0,3.1463649601933055
1861,GAM,0.669,258.0,3.1463649601933055
814,GAM,0.667,261.0,3.1369587869191853
2662,GAM,0.666,262.0,3.132255700282125
488,GAM,0.665,263.0,3.1275526136450646
2679,GAM,0.663,264.0,3.118146440370944
923,GAM,0.662,265.0,3.1134433537338837
1118,GAM,0.661,266.0,3.108740267096824
2152,GAM,0.661,266.0,3.108740267096824
1190,GAM,0.66,268.0,3.1040371804597635
1960,GAM,0.659,269.0,3.099334093822703
2356,GAM,0.659,269.0,3.099334093822703
2450,GAM,0.659,269.0,3.099334093822703
255,GAM,0.655,272.0,3.0805217472744624
1583,GAM,0.655,272.0,3.0805217472744624
2052,GAM,0.655,272.0,3.0805217472744624
2392,GAM,0.654,275.0,3.075818660637402
2411,GAM,0.654,275.0,3.075818660637402
146,GAM,0.653,277.0,3.0711155740003417
1250,GAM,0.651,278.0,3.061709400726221
997,GAM,0.65,279.0,3.057006314089161
1345,GAM,0.65,279.0,3.057006314089161
312,GAM,0.649,281.0,3.0523032274521005
334,GAM,0.649,281.0,3.0523032274521005
940,GAM,0.649,281.0,3.0523032274521005
1871,GAM,0.649,281.0,3.0523032274521005
679,GAM,0.644,285.0,3.0287877942667993
1233,GAM,0.642,286.0,3.0193816209926787
1344,GAM,0.642,286.0,3.0193816209926787
2159,GAM,0.642,286.0,3.0193816209926787
2203,GAM,0.642,286.0,3.0193816209926787
143,GAM,0.641,290.0,3.014678534355619
2013,GAM,0.64,291.0,3.0099754477185585
518,GAM,0.639,292.0,3.005272361081498
1122,GAM,0.639,292.0,3.005272361081498
454,GAM,0.638,294.0,3.000569274444438
1746,GAM,0.637,295.0,2.9958661878073776
547,GAM,0.636,296.0,2.9911631011703173
1493,GAM,0.635,297.0,2.986460014533257
2067,GAM,0.635,297.0,2.986460014533257
2266,GAM,0.635,297.0,2.986460014533257
529,GAM,0.632,300.0,2.9723507546220764
358,GAM,0.631,301.0,2.967647667985016
1772,GAM,0.631,301.0,2.967647667985016
2305,GAM,0.63,303.0,2.962944581347956
904,GAM,0.629,304.0,2.9582414947108955
979,GAM,0.629,304.0,2.9582414947108955
70,GAM,0.627,306.0,2.9488353214367753
2145,GAM,0.626,307.0,2.944132234799715
933,GAM,0.624,308.0,2.9347260615255943
1584,GAM,0.623,309.0,2.930022974888534
2117,GAM,0.623,309.0,2.930022974888534
2542,GAM,0.623,309.0,2.930022974888534
2593,GAM,0.622,312.0,2.9253198882514737
995,GAM,0.621,313.0,2.9206168016144134
1226,GAM,0.621,313.0,2.9206168016144134
2581,GAM,0.621,313.0,2.9206168016144134
1558,GAM,0.62,316.0,2.9159137149773535
1285,GAM,0.618,317.0,2.906507541703233
1543,GAM,0.618,317.0,2.906507541703233
2316,GAM,0.617,319.0,2.9018044550661726
1869,GAM,0.616,320.0,2.8971013684291123
1093,GAM,0.615,321.0,2.892398281792052
2632,GAM,0.615,321.0,2.892398281792052
1041,GAM,0.614,323.0,2.8876951951549916
2633,GAM,0.614,323.0,2.8876951951549916
2036,GAM,0.613,325.0,2.8829921085179318
964,GAM,0.612,326.0,2.8782890218808714
82,GAM,0.611,327.0,2.873585935243811
431,GAM,0.61,328.0,2.868882848606751
925,GAM,0.61,328.0,2.868882848606751
830,GAM,0.609,330.0,2.8641797619696905
1501,GAM,0.609,330.0,2.8641797619696905
2054,GAM,0.609,330.0,2.8641797619696905
1647,GAM,0.608,333.0,2.85947667533263
1913,GAM,0.608,333.0,2.85947667533263
2384,GAM,0.608,333.0,2.85947667533263
2084,GAM,0.607,336.0,2.8547735886955703
2389,GAM,0.607,336.0,2.8547735886955703
51,GAM,0.606,338.0,2.85007050205851
