Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
2300,GAM,1.988,1.0,9.253634933012641
900,GAM,1.873,2.0,8.718339149664326
96,GAM,1.709,3.0,7.954960815150204
522,GAM,1.68,4.0,7.819973182827584
294,GAM,1.663,5.0,7.740842501810877
2188,GAM,1.63,6.0,7.58723588571962
1530,GAM,1.6,7.0,7.447593507454843
1837,GAM,1.552,8.0,7.224165702231198
1169,GAM,1.5,9.0,6.9821189132389145
2404,GAM,1.429,10.0,6.651631951345607
1749,GAM,1.416,11.0,6.591120254097535
1910,GAM,1.414,12.0,6.581810762213217
2318,GAM,1.396,13.0,6.49802533525435
581,GAM,1.395,14.0,6.493370589312191
1129,GAM,1.364,15.0,6.349073465105254
2110,GAM,1.353,16.0,6.297871259741501
2085,GAM,1.32,17.0,6.144264643650246
318,GAM,1.312,18.0,6.107026676112971
1121,GAM,1.308,19.0,6.088407692344334
955,GAM,1.289,20.0,5.999967519443307
2004,GAM,1.289,20.0,5.999967519443307
2724,GAM,1.273,22.0,5.925491584368759
35,GAM,1.257,23.0,5.85101564929421
556,GAM,1.257,23.0,5.85101564929421
2436,GAM,1.256,25.0,5.846360903352052
2177,GAM,1.252,26.0,5.827741919583414
2583,GAM,1.244,27.0,5.79050395204614
2047,GAM,1.234,28.0,5.743956492624547
193,GAM,1.232,29.0,5.734647000740229
1371,GAM,1.231,30.0,5.72999225479807
1614,GAM,1.227,31.0,5.711373271029433
2758,GAM,1.197,32.0,5.571730892764655
527,GAM,1.186,33.0,5.520528687400902
1423,GAM,1.179,34.0,5.487945465805788
1009,GAM,1.173,35.0,5.460016990152831
761,GAM,1.145,36.0,5.3296841037723715
2209,GAM,1.145,36.0,5.3296841037723715
1885,GAM,1.137,38.0,5.292446136235098
2274,GAM,1.137,38.0,5.292446136235098
1972,GAM,1.134,40.0,5.278481898408619
539,GAM,1.125,41.0,5.236589184929186
2130,GAM,1.124,42.0,5.231934438987027
2486,GAM,1.082,43.0,5.036435109416337
100,GAM,1.074,44.0,4.999197141879064
570,GAM,1.073,45.0,4.994542395936904
2584,GAM,1.068,46.0,4.971268666226107
255,GAM,1.06,47.0,4.934030698688834
