Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
900,GAM,1.987,1.0,8.928167651342227
2436,GAM,1.772,2.0,7.962110255751598
2300,GAM,1.74,3.0,7.8183249689660155
522,GAM,1.731,4.0,7.7778853570575714
2404,GAM,1.726,5.0,7.755418905997324
96,GAM,1.724,6.0,7.746432325573225
1530,GAM,1.691,7.0,7.5981537485755934
1910,GAM,1.671,8.0,7.508287944334605
2188,GAM,1.664,9.0,7.476834912850259
1697,GAM,1.622,10.0,7.288116723944183
581,GAM,1.567,11.0,7.040985762281464
1129,GAM,1.5,12.0,6.739935318074152
193,GAM,1.435,13.0,6.447871454290938
307,GAM,1.435,13.0,6.447871454290938
1681,GAM,1.426,15.0,6.407431842382493
294,GAM,1.384,16.0,6.218713653476417
2130,GAM,1.376,17.0,6.182767331780021
1837,GAM,1.373,18.0,6.169287461143873
1614,GAM,1.355,19.0,6.088408237326983
1172,GAM,1.347,20.0,6.052461915630588
539,GAM,1.303,21.0,5.854757146300413
1169,GAM,1.276,22.0,5.733438310575078
2110,GAM,1.27,23.0,5.7064785693027815
511,GAM,1.269,24.0,5.7019852790907315
1010,GAM,1.252,25.0,5.625599345485892
2177,GAM,1.248,26.0,5.607626184637694
100,GAM,1.229,27.0,5.522253670608755
2584,GAM,1.225,28.0,5.504280509760558
2158,GAM,1.214,29.0,5.454854317428013
2541,GAM,1.195,30.0,5.369481803399075
35,GAM,1.184,31.0,5.32005561106653
527,GAM,1.184,31.0,5.32005561106653
287,GAM,1.174,33.0,5.275122708946036
1484,GAM,1.163,34.0,5.2256965166134925
748,GAM,1.134,35.0,5.095391100464058
1729,GAM,1.127,36.0,5.063938068979713
69,GAM,1.123,37.0,5.0459649081315145
84,GAM,1.123,37.0,5.0459649081315145
1371,GAM,1.122,39.0,5.041471617919466
2583,GAM,1.12,40.0,5.032485037495367
606,GAM,1.119,41.0,5.027991747283317
885,GAM,1.119,41.0,5.027991747283317
318,GAM,1.115,43.0,5.01001858643512
1360,GAM,1.115,43.0,5.01001858643512
2758,GAM,1.11,45.0,4.987552135374872
556,GAM,1.107,46.0,4.974072264738724
1572,GAM,1.1,47.0,4.942619233254378
570,GAM,1.088,48.0,4.888699750709785
1423,GAM,1.085,49.0,4.875219880073636
2486,GAM,1.079,50.0,4.848260138801339
1476,GAM,1.075,51.0,4.830286977953142
1597,GAM,1.069,52.0,4.803327236680845
1243,GAM,1.067,53.0,4.794340656256746
1406,GAM,1.057,54.0,4.749407754136252
1778,GAM,1.057,54.0,4.749407754136252
2259,GAM,1.056,56.0,4.744914463924203
2422,GAM,1.049,57.0,4.713461432439856
2149,GAM,1.047,58.0,4.704474852015758
837,GAM,1.046,59.0,4.699981561803709
149,GAM,1.042,60.0,4.682008400955511
1040,GAM,1.041,61.0,4.677515110743461
2443,GAM,1.041,61.0,4.677515110743461
476,GAM,1.038,63.0,4.664035240107313
761,GAM,1.037,64.0,4.659541949895263
951,GAM,1.035,65.0,4.6505553694711645
664,GAM,1.033,66.0,4.641568789047065
2199,GAM,1.033,66.0,4.641568789047065
1009,GAM,1.027,68.0,4.614609047774769
2209,GAM,1.024,69.0,4.6011291771386205
2538,GAM,1.021,70.0,4.587649306502472
1413,GAM,1.02,71.0,4.583156016290423
2290,GAM,1.019,72.0,4.578662726078373
955,GAM,1.017,73.0,4.569676145654275
1121,GAM,1.01,74.0,4.538223114169929
2029,GAM,1.008,75.0,4.52923653374583
2047,GAM,0.999,76.0,4.488796921837385
2274,GAM,0.996,77.0,4.475317051201237
249,GAM,0.988,78.0,4.439370729504841
1354,GAM,0.988,78.0,4.439370729504841
1025,GAM,0.978,80.0,4.394437827384347
2689,GAM,0.977,81.0,4.389944537172298
1972,GAM,0.976,82.0,4.385451246960248
127,GAM,0.964,83.0,4.331531764415654
1311,GAM,0.962,84.0,4.322545183991556
410,GAM,0.96,85.0,4.313558603567457
1412,GAM,0.96,85.0,4.313558603567457
970,GAM,0.959,87.0,4.309065313355408
1096,GAM,0.959,87.0,4.309065313355408
1185,GAM,0.959,87.0,4.309065313355408
2344,GAM,0.958,90.0,4.304572023143358
302,GAM,0.957,91.0,4.300078732931309
