Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
900,GAM,1.743,1.0,8.23627605796213
1910,GAM,1.52,2.0,7.182524158406447
2584,GAM,1.52,2.0,7.182524158406447
1129,GAM,1.495,4.0,7.064390537380025
1169,GAM,1.437,5.0,6.790320536598727
522,GAM,1.395,6.0,6.591856053274338
2318,GAM,1.377,7.0,6.506799846135314
1837,GAM,1.366,8.0,6.4548210528836885
2004,GAM,1.363,9.0,6.4406450183605175
96,GAM,1.361,10.0,6.431194328678404
2404,GAM,1.354,11.0,6.398116914791006
1749,GAM,1.349,12.0,6.374490190585721
294,GAM,1.346,13.0,6.360314156062551
2188,GAM,1.345,14.0,6.3555888112214936
307,GAM,1.342,15.0,6.3414127766983235
2085,GAM,1.335,16.0,6.308335362810925
2724,GAM,1.304,17.0,6.161849672738162
2300,GAM,1.271,18.0,6.005913292983285
1697,GAM,1.26,19.0,5.95393449973166
1121,GAM,1.259,20.0,5.949209154890602
2110,GAM,1.256,21.0,5.935033120367432
1530,GAM,1.245,22.0,5.883054327115807
527,GAM,1.237,23.0,5.8452515683873525
1010,GAM,1.231,24.0,5.816899499341011
2486,GAM,1.228,25.0,5.80272346481784
35,GAM,1.225,26.0,5.78854743029467
2436,GAM,1.219,27.0,5.7601953612483285
570,GAM,1.188,28.0,5.613709671175565
193,GAM,1.185,29.0,5.599533636652395
1371,GAM,1.181,30.0,5.580632257288167
581,GAM,1.176,31.0,5.557005533082882
748,GAM,1.171,32.0,5.533378808877599
1885,GAM,1.158,33.0,5.471949325943858
556,GAM,1.145,34.0,5.410519843010119
1681,GAM,1.137,35.0,5.372717084281664
1009,GAM,1.136,36.0,5.367991739440607
539,GAM,1.124,37.0,5.311287601347925
1649,GAM,1.113,38.0,5.259308808096299
2130,GAM,1.109,39.0,5.240407428732071
1972,GAM,1.104,40.0,5.216780704526788
2758,GAM,1.104,40.0,5.216780704526788
1423,GAM,1.091,42.0,5.155351221593048
476,GAM,1.086,43.0,5.131724497387764
1729,GAM,1.075,44.0,5.079745704136138
2029,GAM,1.074,45.0,5.075020359295082
2583,GAM,1.074,45.0,5.075020359295082
255,GAM,1.073,47.0,5.070295014454024
2209,GAM,1.07,48.0,5.056118979930854
1114,GAM,1.061,49.0,5.0135908763613415
1172,GAM,1.056,50.0,4.989964152156058
2259,GAM,1.052,51.0,4.97106277279183
955,GAM,1.048,52.0,4.952161393427603
2274,GAM,1.047,53.0,4.947436048586545
2177,GAM,1.044,54.0,4.933260014063375
84,GAM,1.035,55.0,4.890731910493863
1355,GAM,1.029,56.0,4.862379841447522
2690,GAM,1.024,57.0,4.838753117242238
761,GAM,1.022,58.0,4.829302427560124
425,GAM,1.021,59.0,4.824577082719067
306,GAM,1.019,60.0,4.815126393036953
220,GAM,1.014,61.0,4.791499668831669
1597,GAM,1.014,61.0,4.791499668831669
1413,GAM,1.013,63.0,4.7867743239906115
149,GAM,1.004,64.0,4.7442462204211004
39,GAM,1.003,65.0,4.739520875580043
606,GAM,1.001,66.0,4.7300701858979295
1377,GAM,0.991,67.0,4.682816737487361
297,GAM,0.99,68.0,4.678091392646304
