Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
900,GAM,2.009,1.0,9.223814966593503
1530,GAM,1.635,2.0,7.506688636326719
2584,GAM,1.633,3.0,7.497506142581976
2404,GAM,1.578,4.0,7.244987564601567
294,GAM,1.526,5.0,7.006242727238271
1910,GAM,1.4,6.0,6.427745621319514
2177,GAM,1.397,7.0,6.413971880702401
2004,GAM,1.38,8.0,6.335920683872092
2085,GAM,1.378,9.0,6.32673819012735
2583,GAM,1.375,10.0,6.312964449510237
522,GAM,1.374,11.0,6.308373202637867
1009,GAM,1.369,12.0,6.285416968276011
1837,GAM,1.368,13.0,6.28082572140364
539,GAM,1.367,14.0,6.276234474531269
2436,GAM,1.352,15.0,6.207365771445703
2318,GAM,1.345,16.0,6.175227043339104
1972,GAM,1.342,17.0,6.161453302721992
1749,GAM,1.326,18.0,6.087993352764054
2724,GAM,1.322,19.0,6.06962836527457
96,GAM,1.314,20.0,6.0328983902956015
2274,GAM,1.287,21.0,5.908934724741582
1010,GAM,1.276,22.0,5.858431009145501
193,GAM,1.274,23.0,5.849248515400758
2188,GAM,1.271,24.0,5.835474774783644
2648,GAM,1.237,25.0,5.679372381123028
2300,GAM,1.213,26.0,5.569182456186122
748,GAM,1.203,27.0,5.523269987462411
606,GAM,1.183,28.0,5.43144505001499
84,GAM,1.178,29.0,5.408488815653134
1885,GAM,1.175,30.0,5.3947150750360215
2110,GAM,1.17,31.0,5.371758840674166
1169,GAM,1.144,32.0,5.252386421992517
287,GAM,1.142,33.0,5.243203928247775
1185,GAM,1.139,34.0,5.229430187630662
149,GAM,1.133,35.0,5.201882706396436
2130,GAM,1.133,35.0,5.201882706396436
1484,GAM,1.131,37.0,5.192700212651693
1871,GAM,1.131,37.0,5.192700212651693
2486,GAM,1.127,39.0,5.174335225162209
1697,GAM,1.118,40.0,5.13301400331087
70,GAM,1.11,41.0,5.096284028331901
2541,GAM,1.11,41.0,5.096284028331901
318,GAM,1.105,43.0,5.073327793970045
1758,GAM,1.098,44.0,5.041189065863448
2731,GAM,1.093,45.0,5.018232831501592
255,GAM,1.084,46.0,4.976911609650253
527,GAM,1.081,47.0,4.963137869033139
679,GAM,1.068,48.0,4.9034516596923154
2290,GAM,1.068,48.0,4.9034516596923154
1572,GAM,1.056,50.0,4.8483566972238625
307,GAM,1.053,51.0,4.834582956606749
2158,GAM,1.051,52.0,4.825400462862007
636,GAM,1.033,53.0,4.742758019159327
581,GAM,1.026,54.0,4.71061929105273
1371,GAM,1.026,54.0,4.71061929105273
815,GAM,1.025,56.0,4.706028044180358
1377,GAM,1.018,57.0,4.673889316073761
955,GAM,1.014,58.0,4.655524328584277
1681,GAM,1.013,59.0,4.650933081711905
1360,GAM,1.009,60.0,4.632568094222421
1476,GAM,1.006,61.0,4.618794353605308
2259,GAM,1.006,61.0,4.618794353605308
2432,GAM,1.005,63.0,4.614203106732937
1853,GAM,0.998,64.0,4.582064378626339
844,GAM,0.993,65.0,4.559108144264484
951,GAM,0.988,66.0,4.536151909902629
1129,GAM,0.984,67.0,4.517786922413144
1355,GAM,0.981,68.0,4.504013181796031
