Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
900,GAM,1.925,1.0,8.773662561677924
522,GAM,1.819,2.0,8.290541402437476
96,GAM,1.771,3.0,8.07176955674369
2188,GAM,1.755,4.0,7.998845608179094
1910,GAM,1.658,5.0,7.556744170006232
1697,GAM,1.57,6.0,7.155662452900956
2300,GAM,1.565,7.0,7.13287371897452
294,GAM,1.53,8.0,6.973352581489467
1681,GAM,1.514,9.0,6.900428632924871
307,GAM,1.495,10.0,6.813831444004414
1837,GAM,1.427,11.0,6.5039046626048815
1530,GAM,1.417,12.0,6.45832719475201
1009,GAM,1.383,13.0,6.3033638040522435
1972,GAM,1.366,14.0,6.225882108702361
2584,GAM,1.365,15.0,6.221324361917073
2404,GAM,1.364,16.0,6.216766615131786
2274,GAM,1.339,17.0,6.1028229454996055
581,GAM,1.326,18.0,6.043572237290872
1729,GAM,1.305,19.0,5.947859554799839
1749,GAM,1.285,20.0,5.856704619094094
1169,GAM,1.249,21.0,5.692625734823754
539,GAM,1.248,22.0,5.688067988038467
2486,GAM,1.234,23.0,5.624259533044445
193,GAM,1.225,24.0,5.583239811976861
2004,GAM,1.223,25.0,5.5741243184062865
2318,GAM,1.223,25.0,5.5741243184062865
2436,GAM,1.215,27.0,5.537662344123989
2158,GAM,1.2,28.0,5.46929614234468
748,GAM,1.186,29.0,5.405487687350658
1129,GAM,1.186,29.0,5.405487687350658
1345,GAM,1.183,31.0,5.391814446994797
527,GAM,1.178,32.0,5.3690257130683605
2085,GAM,1.167,33.0,5.318890498430202
1614,GAM,1.166,34.0,5.314332751644914
149,GAM,1.164,35.0,5.305217258074339
2259,GAM,1.161,36.0,5.291544017718478
100,GAM,1.128,37.0,5.141138373803998
1121,GAM,1.126,38.0,5.132022880233424
2583,GAM,1.12,39.0,5.1046763995217015
2724,GAM,1.104,40.0,5.031752450957105
2110,GAM,1.099,41.0,5.008963717030669
570,GAM,1.094,42.0,4.986174983104234
1885,GAM,1.092,43.0,4.977059489533659
1371,GAM,1.089,44.0,4.9633862491777965
1355,GAM,1.086,45.0,4.949713008821935
1423,GAM,1.078,46.0,4.913251034539638
2130,GAM,1.076,47.0,4.9041355409690635
1758,GAM,1.07,48.0,4.87678906025734
35,GAM,1.067,49.0,4.863115819901478
1010,GAM,1.063,50.0,4.844884832760329
1853,GAM,1.06,51.0,4.831211592404467
318,GAM,1.055,52.0,4.808422858478031
84,GAM,1.053,53.0,4.799307364907456
2209,GAM,1.051,54.0,4.790191871336882
2690,GAM,1.051,54.0,4.790191871336882
1892,GAM,1.036,56.0,4.721825669557574
1040,GAM,1.025,57.0,4.671690454919413
964,GAM,1.024,58.0,4.667132708134127
2030,GAM,1.024,58.0,4.667132708134127
476,GAM,1.022,60.0,4.658017214563553
255,GAM,1.02,61.0,4.648901720992978
606,GAM,1.019,62.0,4.64434397420769
1360,GAM,1.018,63.0,4.6397862274224035
1412,GAM,1.017,64.0,4.635228480637116
1476,GAM,1.014,65.0,4.621555240281254
2432,GAM,1.009,66.0,4.598766506354818
1070,GAM,1.002,67.0,4.5668622788578075
2177,GAM,1.001,68.0,4.5623045320725195
1377,GAM,0.993,69.0,4.525842557790223
1484,GAM,0.993,69.0,4.525842557790223
2047,GAM,0.99,71.0,4.512169317434361
2731,GAM,0.979,72.0,4.462034102796201
69,GAM,0.973,73.0,4.4346876220844775
2648,GAM,0.971,74.0,4.425572128513903
1960,GAM,0.97,75.0,4.421014381728616
220,GAM,0.963,76.0,4.389110154231606
117,GAM,0.954,77.0,4.34809043316402
297,GAM,0.954,77.0,4.34809043316402
761,GAM,0.954,77.0,4.34809043316402
1413,GAM,0.953,80.0,4.343532686378733
2593,GAM,0.951,81.0,4.334417192808159
636,GAM,0.947,82.0,4.31618620566701
1255,GAM,0.946,83.0,4.311628458881723
955,GAM,0.943,84.0,4.2979552185258605
1185,GAM,0.943,84.0,4.2979552185258605
1025,GAM,0.938,86.0,4.275166484599424
818,GAM,0.936,87.0,4.266050991028851
1572,GAM,0.935,88.0,4.261493244243563
2159,GAM,0.933,89.0,4.252377750672989
302,GAM,0.93,90.0,4.2387045103171275
861,GAM,0.93,90.0,4.2387045103171275
2299,GAM,0.929,92.0,4.2341467635318395
160,GAM,0.928,93.0,4.229589016746552
1419,GAM,0.924,94.0,4.211358029605404
1597,GAM,0.923,95.0,4.206800282820116
815,GAM,0.92,96.0,4.193127042464255
1879,GAM,0.917,97.0,4.179453802108393
2029,GAM,0.915,98.0,4.1703383085378185
1151,GAM,0.913,99.0,4.161222814967244
1277,GAM,0.91,100.0,4.147549574611382
2199,GAM,0.906,101.0,4.129318587470233
561,GAM,0.905,102.0,4.124760840684946
951,GAM,0.902,103.0,4.111087600329085
143,GAM,0.898,104.0,4.092856613187935
369,GAM,0.895,105.0,4.079183372832074
1114,GAM,0.894,106.0,4.074625626046786
2290,GAM,0.892,107.0,4.065510132476212
2497,GAM,0.89,108.0,4.056394638905638
306,GAM,0.881,109.0,4.015374917838052
287,GAM,0.877,110.0,3.9971439306969034
1778,GAM,0.877,110.0,3.9971439306969034
2022,GAM,0.877,110.0,3.9971439306969034
2509,GAM,0.875,113.0,3.988028437126329
511,GAM,0.873,114.0,3.9789129435557546
1558,GAM,0.868,115.0,3.9561242096293183
2261,GAM,0.868,115.0,3.9561242096293183
556,GAM,0.865,117.0,3.9424509692734566
2275,GAM,0.864,118.0,3.9378932224881695
2758,GAM,0.864,118.0,3.9378932224881695
1361,GAM,0.861,120.0,3.924219982132308
1243,GAM,0.86,121.0,3.9196622353470203
1172,GAM,0.858,122.0,3.910546741776446
1469,GAM,0.855,123.0,3.8968735014205844
1847,GAM,0.852,124.0,3.8832002610647227
2538,GAM,0.849,125.0,3.869527020708861
408,GAM,0.846,126.0,3.8558537803529993
2255,GAM,0.846,126.0,3.8558537803529993
2633,GAM,0.846,126.0,3.8558537803529993
2430,GAM,0.845,129.0,3.8512960335677118
