Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
900,GAM,2.22,1.0,10.500521382823454
1910,GAM,1.685,2.0,7.969990328854738
2648,GAM,1.585,3.0,7.496993870168997
96,GAM,1.523,4.0,7.203736065783837
2188,GAM,1.507,5.0,7.128056632394118
2404,GAM,1.501,6.0,7.099676844872974
522,GAM,1.495,7.0,7.07129705735183
2300,GAM,1.495,7.0,7.07129705735183
1530,GAM,1.461,9.0,6.910478261398678
307,GAM,1.392,10.0,6.584110704905516
2584,GAM,1.389,11.0,6.569920811144945
1129,GAM,1.388,12.0,6.565190846558086
1010,GAM,1.359,13.0,6.428021873539222
1697,GAM,1.347,14.0,6.371262298496933
539,GAM,1.318,15.0,6.234093325478068
35,GAM,1.265,16.0,5.983405202374625
1681,GAM,1.26,17.0,5.959755379440338
2177,GAM,1.257,18.0,5.945565485679766
2110,GAM,1.239,19.0,5.8604261231163335
556,GAM,1.213,20.0,5.73744704385804
2758,GAM,1.211,21.0,5.727987114684326
249,GAM,1.203,22.0,5.690147397989466
581,GAM,1.198,23.0,5.666497575055178
2583,GAM,1.195,24.0,5.652307681294607
527,GAM,1.193,25.0,5.642847752120892
2443,GAM,1.19,26.0,5.628657858360319
1169,GAM,1.183,27.0,5.595548106252318
1406,GAM,1.175,28.0,5.557708389557458
1070,GAM,1.154,29.0,5.458379133233453
2690,GAM,1.142,30.0,5.401619558191164
294,GAM,1.135,31.0,5.3685098060831615
2436,GAM,1.131,32.0,5.3495899477357325
193,GAM,1.124,33.0,5.316480195627731
1371,GAM,1.122,34.0,5.307020266454016
1413,GAM,1.11,35.0,5.250260691411727
1837,GAM,1.11,35.0,5.250260691411727
1423,GAM,1.1,37.0,5.2029610455431525
748,GAM,1.08,38.0,5.108361753806005
1729,GAM,1.077,39.0,5.0941718600454315
255,GAM,1.073,40.0,5.0752520016980025
570,GAM,1.068,41.0,5.051602178763716
1597,GAM,1.063,42.0,5.027952355829428
955,GAM,1.059,43.0,5.009032497481998
69,GAM,1.057,44.0,4.999572568308284
2209,GAM,1.045,45.0,4.942812993265995
2030,GAM,1.039,46.0,4.91443320574485
2486,GAM,1.036,47.0,4.900243311984278
2029,GAM,1.034,48.0,4.890783382810564
606,GAM,1.032,49.0,4.881323453636849
220,GAM,1.017,50.0,4.810373984833987
160,GAM,1.008,51.0,4.76780430355227
856,GAM,1.007,52.0,4.763074338965413
100,GAM,1.003,53.0,4.744154480617983
84,GAM,0.998,54.0,4.720504657683697
149,GAM,0.996,55.0,4.7110447285099815
2130,GAM,0.995,56.0,4.706314763923125
1614,GAM,0.991,57.0,4.687394905575695
1700,GAM,0.991,57.0,4.687394905575695
1311,GAM,0.988,59.0,4.6732050118151225
476,GAM,0.984,60.0,4.654285153467693
1360,GAM,0.984,60.0,4.654285153467693
1009,GAM,0.982,62.0,4.644825224293978
1114,GAM,0.98,63.0,4.635365295120263
1692,GAM,0.98,63.0,4.635365295120263
761,GAM,0.975,65.0,4.611715472185976
1040,GAM,0.97,66.0,4.588065649251689
1121,GAM,0.969,67.0,4.583335684664831
2274,GAM,0.968,68.0,4.578605720077974
2149,GAM,0.967,69.0,4.573875755491117
1476,GAM,0.962,70.0,4.550225932556829
1238,GAM,0.96,71.0,4.540766003383115
318,GAM,0.954,72.0,4.51238621586197
1025,GAM,0.951,73.0,4.498196322101398
1355,GAM,0.946,74.0,4.4745464991671104
2047,GAM,0.945,75.0,4.469816534580254
2158,GAM,0.945,75.0,4.469816534580254
1572,GAM,0.944,77.0,4.465086569993396
2708,GAM,0.943,78.0,4.460356605406538
1412,GAM,0.94,79.0,4.446166711645966
964,GAM,0.932,80.0,4.408326994951108
2724,GAM,0.932,80.0,4.408326994951108
2290,GAM,0.93,82.0,4.3988670657773925
287,GAM,0.929,83.0,4.394137101190536
1345,GAM,0.928,84.0,4.389407136603678
2318,GAM,0.927,85.0,4.38467717201682
