Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
2648,GAM,1.829,1.0,8.955760903703206
522,GAM,1.789,2.0,8.759899538942063
96,GAM,1.731,3.0,8.47590056003841
2188,GAM,1.657,4.0,8.113557035230297
900,GAM,1.543,5.0,7.555352145661042
1697,GAM,1.505,6.0,7.3692838491379575
2177,GAM,1.48,7.0,7.246870496162244
1681,GAM,1.466,8.0,7.178319018495845
307,GAM,1.439,9.0,7.046112597282074
1910,GAM,1.434,10.0,7.0216299266869315
2259,GAM,1.355,11.0,6.634803731283676
1885,GAM,1.295,12.0,6.3410116841419635
2436,GAM,1.261,13.0,6.174529524094993
2404,GAM,1.229,14.0,6.01784043228608
1729,GAM,1.219,15.0,5.968875091095795
294,GAM,1.207,16.0,5.910116681667453
1530,GAM,1.187,17.0,5.812185999286881
581,GAM,1.186,18.0,5.807289465167853
193,GAM,1.185,19.0,5.802392931048824
143,GAM,1.163,20.0,5.694669180430196
297,GAM,1.162,21.0,5.689772646311167
748,GAM,1.162,21.0,5.689772646311167
2584,GAM,1.156,23.0,5.660393441596996
2130,GAM,1.153,24.0,5.645703839239911
2443,GAM,1.146,25.0,5.611428100406711
1129,GAM,1.145,26.0,5.606531566287683
2300,GAM,1.139,27.0,5.5771523615735115
1406,GAM,1.122,28.0,5.493911281550027
539,GAM,1.116,29.0,5.464532076835855
1749,GAM,1.099,30.0,5.381290996812369
1837,GAM,1.099,30.0,5.381290996812369
249,GAM,1.096,32.0,5.366601394455285
2158,GAM,1.092,33.0,5.34701525797917
1009,GAM,1.087,34.0,5.322532587384027
1972,GAM,1.086,35.0,5.317636053264999
287,GAM,1.081,36.0,5.293153382669855
2274,GAM,1.078,37.0,5.27846378031277
1614,GAM,1.068,38.0,5.229498439122485
1172,GAM,1.055,39.0,5.165843495575113
511,GAM,1.051,40.0,5.146257359098999
318,GAM,1.043,41.0,5.10708508614677
856,GAM,1.04,42.0,5.092395483789685
1700,GAM,1.03,43.0,5.0434301425994
100,GAM,1.027,44.0,5.028740540242314
2690,GAM,1.022,45.0,5.004257869647172
2318,GAM,1.012,46.0,4.955292528456886
1476,GAM,1.01,47.0,4.945499460218829
2004,GAM,1.01,47.0,4.945499460218829
2541,GAM,1.008,49.0,4.935706391980772
2047,GAM,1.007,50.0,4.9308098578617425
1360,GAM,1.005,51.0,4.921016789623685
527,GAM,0.999,52.0,4.891637584909515
2030,GAM,0.988,53.0,4.837775709600201
2724,GAM,0.986,54.0,4.827982641362144
