Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
2648,GAM,1.97,1.0,9.085431831333613
2318,GAM,1.876,2.0,8.65191376425475
1749,GAM,1.757,3.0,8.103098338910232
2085,GAM,1.732,4.0,7.987800980644577
2004,GAM,1.729,5.0,7.9739652976527
2724,GAM,1.681,6.0,7.752594369782642
2177,GAM,1.648,7.0,7.600401856871977
539,GAM,1.647,8.0,7.5957899625413505
900,GAM,1.587,9.0,7.319076302703778
2300,GAM,1.557,10.0,7.180719472784992
1530,GAM,1.433,11.0,6.608844575787344
2404,GAM,1.418,12.0,6.5396661608279505
294,GAM,1.413,13.0,6.51660668917482
527,GAM,1.364,14.0,6.290623866974137
1837,GAM,1.323,15.0,6.101536199418462
1649,GAM,1.296,16.0,5.977015052491555
1129,GAM,1.275,17.0,5.880165271548404
193,GAM,1.27,18.0,5.857105799895273
2541,GAM,1.263,19.0,5.8248225395808895
522,GAM,1.254,20.0,5.783315490605254
1121,GAM,1.251,21.0,5.769479807613375
2436,GAM,1.239,22.0,5.714137075645862
96,GAM,1.236,23.0,5.700301392653983
748,GAM,1.226,24.0,5.65418244934772
2486,GAM,1.202,25.0,5.543496985412691
1169,GAM,1.199,26.0,5.529661302420814
425,GAM,1.174,27.0,5.414363944155158
1910,GAM,1.169,28.0,5.391304472502028
2583,GAM,1.169,28.0,5.391304472502028
2188,GAM,1.168,30.0,5.386692578171401
35,GAM,1.166,31.0,5.377468789510148
511,GAM,1.161,32.0,5.354409317857018
1428,GAM,1.136,33.0,5.239111959591362
570,GAM,1.128,34.0,5.202216804946352
1484,GAM,1.127,35.0,5.197604910615727
2130,GAM,1.12,36.0,5.165321650301344
1172,GAM,1.119,37.0,5.160709755970717
1885,GAM,1.11,38.0,5.119202706995082
255,GAM,1.108,39.0,5.109978918333829
885,GAM,1.104,40.0,5.091531341011325
307,GAM,1.097,41.0,5.059248080696941
2110,GAM,1.075,42.0,4.957786405423164
2731,GAM,1.07,43.0,4.934726933770034
2209,GAM,1.062,44.0,4.897831779125024
318,GAM,1.057,45.0,4.8747723074718925
2584,GAM,1.047,46.0,4.82865336416563
1371,GAM,1.027,47.0,4.736415477553106
1423,GAM,1.022,48.0,4.713356005899976
1476,GAM,1.016,49.0,4.685684639916219
476,GAM,1.008,50.0,4.648789485271209
1412,GAM,1.006,51.0,4.6395656966099565
1778,GAM,0.995,52.0,4.588834858973068
2443,GAM,0.991,53.0,4.5703872816505635
1697,GAM,0.988,54.0,4.556551598658685
1871,GAM,0.987,55.0,4.551939704328059
1360,GAM,0.985,56.0,4.542715915666807
1892,GAM,0.985,56.0,4.542715915666807
951,GAM,0.984,58.0,4.5381040213361805
2029,GAM,0.982,59.0,4.528880232674928
2690,GAM,0.982,59.0,4.528880232674928
302,GAM,0.981,61.0,4.524268338344302
1009,GAM,0.98,62.0,4.519656444013675
1614,GAM,0.979,63.0,4.515044549683049
