Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
900,GAM,1.963,1.0,8.745638377481445
1530,GAM,1.788,2.0,7.96597117622864
1910,GAM,1.694,3.0,7.547178508127135
2648,GAM,1.655,4.0,7.37342410327651
96,GAM,1.629,5.0,7.2575878333760935
294,GAM,1.618,6.0,7.208580180725918
307,GAM,1.584,7.0,7.057101981625373
1697,GAM,1.575,8.0,7.017004811275228
2300,GAM,1.563,9.0,6.963541917475036
1749,GAM,1.489,10.0,6.633854072373851
1010,GAM,1.474,11.0,6.567025455123611
1169,GAM,1.461,12.0,6.509107320173403
522,GAM,1.424,13.0,6.344263397622809
1837,GAM,1.415,14.0,6.304166227272666
539,GAM,1.401,15.0,6.241792851172441
2188,GAM,1.391,16.0,6.1972404396722816
1681,GAM,1.376,17.0,6.13041182242204
748,GAM,1.373,18.0,6.117046098971993
2318,GAM,1.369,19.0,6.099225134371928
527,GAM,1.354,20.0,6.032396517121689
2404,GAM,1.347,21.0,6.001209829071576
1423,GAM,1.342,22.0,5.978933623321496
1371,GAM,1.326,23.0,5.90764976492124
570,GAM,1.324,24.0,5.898739282621208
2541,GAM,1.3,25.0,5.791813495020824
2177,GAM,1.28,26.0,5.702708672020504
2584,GAM,1.261,27.0,5.618059090170198
1476,GAM,1.251,28.0,5.5735066786700385
1129,GAM,1.246,29.0,5.551230472919959
1360,GAM,1.245,30.0,5.546775231769943
1885,GAM,1.208,31.0,5.3819313092193495
2486,GAM,1.205,32.0,5.368565585769302
2436,GAM,1.193,33.0,5.31510269196911
1040,GAM,1.187,34.0,5.288371245069014
2209,GAM,1.185,35.0,5.279460762768982
2690,GAM,1.175,36.0,5.234908351268822
1009,GAM,1.172,37.0,5.221542627818773
1121,GAM,1.17,38.0,5.212632145518741
2029,GAM,1.167,39.0,5.1992664220686935
476,GAM,1.156,40.0,5.1502587694185165
1729,GAM,1.143,41.0,5.092340634468309
1377,GAM,1.139,42.0,5.074519669868245
193,GAM,1.137,43.0,5.065609187568213
2731,GAM,1.137,43.0,5.065609187568213
2130,GAM,1.135,45.0,5.056698705268181
1070,GAM,1.116,46.0,4.972049123417877
2004,GAM,1.112,47.0,4.954228158817813
2259,GAM,1.108,48.0,4.9364071942177485
1572,GAM,1.106,49.0,4.927496711917716
2583,GAM,1.104,50.0,4.918586229617684
149,GAM,1.099,51.0,4.896310023867604
1484,GAM,1.092,52.0,4.865123335817493
2443,GAM,1.092,52.0,4.865123335817493
1243,GAM,1.083,54.0,4.825026165467348
84,GAM,1.082,55.0,4.820570924317332
2110,GAM,1.08,56.0,4.8116604420173
318,GAM,1.079,57.0,4.807205200867283
1972,GAM,1.071,58.0,4.771563271667155
1406,GAM,1.066,59.0,4.749287065917075
606,GAM,1.061,60.0,4.727010860166995
39,GAM,1.056,61.0,4.7047346544169155
636,GAM,1.049,62.0,4.673547966366803
1412,GAM,1.036,63.0,4.615629831416595
1758,GAM,1.033,64.0,4.602264107966547
2158,GAM,1.029,65.0,4.5844431433664825
306,GAM,1.028,66.0,4.579987902216467
100,GAM,1.027,67.0,4.57553266106645
2274,GAM,1.024,68.0,4.562166937616403
1469,GAM,1.021,69.0,4.548801214166354
1096,GAM,1.019,70.0,4.539890731866322
1185,GAM,1.015,71.0,4.522069767266258
2085,GAM,1.015,71.0,4.522069767266258
2290,GAM,1.013,73.0,4.513159284966226
581,GAM,1.01,74.0,4.499793561516178
815,GAM,1.008,75.0,4.490883079216147
556,GAM,0.998,76.0,4.446330667715986
2689,GAM,0.996,77.0,4.437420185415954
297,GAM,0.989,78.0,4.406233497365842
437,GAM,0.989,78.0,4.406233497365842
1142,GAM,0.986,80.0,4.3928677739157935
951,GAM,0.984,81.0,4.383957291615761
2432,GAM,0.983,82.0,4.379502050465746
69,GAM,0.982,83.0,4.375046809315729
1793,GAM,0.982,83.0,4.375046809315729
2047,GAM,0.976,85.0,4.348315362415634
249,GAM,0.975,86.0,4.343860121265617
2724,GAM,0.974,87.0,4.339404880115602
1778,GAM,0.973,88.0,4.334949638965585
1428,GAM,0.967,89.0,4.308218192065489
35,GAM,0.966,90.0,4.303762950915473
2538,GAM,0.966,90.0,4.303762950915473
970,GAM,0.965,92.0,4.299307709765458
1413,GAM,0.96,93.0,4.277031504015377
1114,GAM,0.957,94.0,4.263665780565329
2758,GAM,0.956,95.0,4.259210539415313
2257,GAM,0.95,96.0,4.232479092515217
797,GAM,0.948,97.0,4.223568610215185
511,GAM,0.945,98.0,4.210202886765137
2275,GAM,0.945,98.0,4.210202886765137
371,GAM,0.944,100.0,4.205747645615121
1468,GAM,0.942,101.0,4.196837163315089
1238,GAM,0.937,102.0,4.174560957565009
1700,GAM,0.937,102.0,4.174560957565009
2022,GAM,0.933,104.0,4.156739992964945
818,GAM,0.93,105.0,4.143374269514897
1192,GAM,0.93,105.0,4.143374269514897
220,GAM,0.929,107.0,4.138919028364881
740,GAM,0.918,108.0,4.0899113757147045
1172,GAM,0.917,109.0,4.085456134564689
714,GAM,0.916,110.0,4.081000893414672
382,GAM,0.912,111.0,4.063179928814609
160,GAM,0.908,112.0,4.045358964214545
1614,GAM,0.907,113.0,4.040903723064528
1649,GAM,0.899,114.0,4.0052617938644
1958,GAM,0.894,115.0,3.98298558811432
287,GAM,0.893,116.0,3.978530346964304
425,GAM,0.893,116.0,3.978530346964304
761,GAM,0.892,118.0,3.974075105814288
856,GAM,0.89,119.0,3.9651646235142564
302,GAM,0.889,120.0,3.9607093823642403
1892,GAM,0.889,120.0,3.9607093823642403
561,GAM,0.888,122.0,3.9562541412142243
1597,GAM,0.886,123.0,3.947343658914192
143,GAM,0.882,124.0,3.929522694314128
837,GAM,0.877,125.0,3.907246488564048
1355,GAM,0.868,126.0,3.8671493182139036
194,GAM,0.861,127.0,3.8359626301637917
1692,GAM,0.859,128.0,3.8270521478637596
2344,GAM,0.857,129.0,3.8181416655637275
885,GAM,0.855,130.0,3.8092311832636954
1321,GAM,0.854,131.0,3.8047759421136793
127,GAM,0.852,132.0,3.795865459813647
1503,GAM,0.852,132.0,3.795865459813647
775,GAM,0.85,134.0,3.786954977513615
1652,GAM,0.849,135.0,3.7824997363635995
176,GAM,0.843,136.0,3.755768289463503
410,GAM,0.842,137.0,3.751313048313487
2609,GAM,0.842,137.0,3.751313048313487
664,GAM,0.84,139.0,3.742402566013455
2708,GAM,0.837,140.0,3.729036842563407
1135,GAM,0.835,141.0,3.720126360263375
2149,GAM,0.835,141.0,3.720126360263375
2210,GAM,0.833,143.0,3.711215877963343
2309,GAM,0.83,144.0,3.697850154513295
2612,GAM,0.83,144.0,3.697850154513295
1311,GAM,0.823,146.0,3.6666634664631825
2199,GAM,0.821,147.0,3.657752984163151
2422,GAM,0.819,148.0,3.6488425018631188
2509,GAM,0.816,149.0,3.6354767784130706
2261,GAM,0.815,150.0,3.6310215372630545
1354,GAM,0.811,151.0,3.6132005726629908
1361,GAM,0.809,152.0,3.604290090362959
865,GAM,0.808,153.0,3.599834849212943
955,GAM,0.807,154.0,3.595379608062927
1543,GAM,0.806,155.0,3.590924366912911
1583,GAM,0.806,155.0,3.590924366912911
1879,GAM,0.804,157.0,3.582013884612879
2284,GAM,0.8,158.0,3.5641929200128146
2295,GAM,0.798,159.0,3.5552824377127825
2030,GAM,0.797,160.0,3.5508271965627665
1549,GAM,0.795,161.0,3.541916714262735
638,GAM,0.791,162.0,3.5240957496626706
1853,GAM,0.789,163.0,3.5151852673626385
320,GAM,0.788,164.0,3.5107300262126224
2566,GAM,0.788,164.0,3.5107300262126224
1012,GAM,0.782,166.0,3.483998579312526
844,GAM,0.781,167.0,3.4795433381625105
2384,GAM,0.781,167.0,3.4795433381625105
1518,GAM,0.777,169.0,3.4617223735624463
878,GAM,0.775,170.0,3.452811891262414
491,GAM,0.773,171.0,3.443901408962382
1791,GAM,0.772,172.0,3.439446167812366
1025,GAM,0.771,173.0,3.43499092666235
2052,GAM,0.769,174.0,3.426080444362318
1826,GAM,0.768,175.0,3.421625203212302
2339,GAM,0.767,176.0,3.417169962062286
2076,GAM,0.766,177.0,3.41271472091227
2063,GAM,0.765,178.0,3.408259479762254
1011,GAM,0.759,179.0,3.3815280328621578
467,GAM,0.757,180.0,3.3726175505621256
1255,GAM,0.753,181.0,3.354796585962062
1825,GAM,0.753,181.0,3.354796585962062
2224,GAM,0.753,181.0,3.354796585962062
2651,GAM,0.753,181.0,3.354796585962062
2067,GAM,0.751,185.0,3.3458861036620298
2161,GAM,0.751,185.0,3.3458861036620298
1212,GAM,0.75,187.0,3.3414308625120137
1523,GAM,0.75,187.0,3.3414308625120137
255,GAM,0.748,189.0,3.3325203802119816
509,GAM,0.748,189.0,3.3325203802119816
1277,GAM,0.744,191.0,3.3146994156119174
2517,GAM,0.742,192.0,3.3057889333118853
484,GAM,0.741,193.0,3.3013336921618692
877,GAM,0.741,193.0,3.3013336921618692
1019,GAM,0.739,195.0,3.2924232098618376
861,GAM,0.735,196.0,3.2746022452617733
1305,GAM,0.734,197.0,3.2701470041117573
2455,GAM,0.731,198.0,3.256781280661709
369,GAM,0.73,199.0,3.252326039511693
1062,GAM,0.73,199.0,3.252326039511693
293,GAM,0.729,201.0,3.247870798361677
850,GAM,0.729,201.0,3.247870798361677
1849,GAM,0.728,203.0,3.243415557211661
2054,GAM,0.728,203.0,3.243415557211661
2497,GAM,0.728,203.0,3.243415557211661
1109,GAM,0.727,206.0,3.238960316061645
2456,GAM,0.727,206.0,3.238960316061645
547,GAM,0.722,208.0,3.216684110311565
1779,GAM,0.722,208.0,3.216684110311565
1203,GAM,0.721,210.0,3.212228869161549
1502,GAM,0.72,211.0,3.207773628011533
1559,GAM,0.719,212.0,3.203318386861517
75,GAM,0.718,213.0,3.198863145711501
1680,GAM,0.717,214.0,3.194407904561485
1746,GAM,0.717,214.0,3.194407904561485
1601,GAM,0.715,216.0,3.1854974222614527
923,GAM,0.713,217.0,3.1765869399614206
214,GAM,0.712,218.0,3.1721316988114046
601,GAM,0.712,218.0,3.1721316988114046
2090,GAM,0.712,218.0,3.1721316988114046
1931,GAM,0.711,221.0,3.167676457661389
70,GAM,0.709,222.0,3.158765975361357
351,GAM,0.709,222.0,3.158765975361357
2255,GAM,0.709,222.0,3.158765975361357
1754,GAM,0.708,225.0,3.154310734211341
1437,GAM,0.706,226.0,3.1454002519113087
1945,GAM,0.705,227.0,3.1409450107612926
569,GAM,0.701,228.0,3.1231240461612284
1639,GAM,0.695,229.0,3.0963925992611325
2578,GAM,0.695,229.0,3.0963925992611325
2189,GAM,0.694,231.0,3.0919373581111165
146,GAM,0.692,232.0,3.0830268758110844
137,GAM,0.688,233.0,3.06520591121102
1345,GAM,0.687,234.0,3.0607506700610045
2430,GAM,0.687,234.0,3.0607506700610045
1344,GAM,0.686,236.0,3.0562954289109885
300,GAM,0.684,237.0,3.047384946610957
405,GAM,0.684,237.0,3.047384946610957
2593,GAM,0.684,237.0,3.047384946610957
2505,GAM,0.681,240.0,3.0340192231609087
763,GAM,0.679,241.0,3.0251087408608766
488,GAM,0.678,242.0,3.0206534997108605
2026,GAM,0.678,242.0,3.0206534997108605
2227,GAM,0.678,242.0,3.0206534997108605
2299,GAM,0.678,242.0,3.0206534997108605
1558,GAM,0.677,246.0,3.0161982585608444
38,GAM,0.676,247.0,3.0117430174108284
2160,GAM,0.674,248.0,3.0028325351107963
262,GAM,0.671,249.0,2.989466811660748
2677,GAM,0.671,249.0,2.989466811660748
1264,GAM,0.67,251.0,2.9850115705107325
429,GAM,0.669,252.0,2.9805563293607165
1233,GAM,0.668,253.0,2.9761010882107004
1073,GAM,0.666,254.0,2.9671906059106683
1436,GAM,0.664,255.0,2.958280123610636
1644,GAM,0.664,255.0,2.958280123610636
814,GAM,0.663,257.0,2.95382488246062
1794,GAM,0.663,257.0,2.95382488246062
82,GAM,0.661,259.0,2.944914400160588
392,GAM,0.661,259.0,2.944914400160588
1107,GAM,0.661,259.0,2.944914400160588
1493,GAM,0.66,262.0,2.940459159010572
129,GAM,0.659,263.0,2.936003917860556
1607,GAM,0.659,263.0,2.936003917860556
427,GAM,0.658,265.0,2.93154867671054
505,GAM,0.658,265.0,2.93154867671054
1122,GAM,0.658,265.0,2.93154867671054
1151,GAM,0.658,265.0,2.93154867671054
2273,GAM,0.657,269.0,2.927093435560524
1584,GAM,0.656,270.0,2.922638194410508
1690,GAM,0.656,270.0,2.922638194410508
2504,GAM,0.656,270.0,2.922638194410508
51,GAM,0.655,273.0,2.918182953260492
529,GAM,0.653,274.0,2.90927247096046
25,GAM,0.652,275.0,2.904817229810444
486,GAM,0.651,276.0,2.900361988660428
