Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
900,GAM,1.947,1.0,8.731414548090525
1129,GAM,1.547,2.0,6.93759543189319
1910,GAM,1.539,3.0,6.901719049569243
96,GAM,1.462,4.0,6.556408869701256
522,GAM,1.451,5.0,6.5070788440058305
2110,GAM,1.436,6.0,6.43981062714843
2300,GAM,1.419,7.0,6.3635733147100435
2648,GAM,1.411,8.0,6.327696932386097
2259,GAM,1.388,9.0,6.224552333204749
2541,GAM,1.376,10.0,6.170737759718829
1649,GAM,1.354,11.0,6.072077708327977
2188,GAM,1.354,11.0,6.072077708327977
1885,GAM,1.351,13.0,6.058624064956496
539,GAM,1.347,14.0,6.040685873794523
318,GAM,1.308,15.0,5.865788509965283
294,GAM,1.301,16.0,5.8343966754318295
1697,GAM,1.267,17.0,5.681922050555055
1009,GAM,1.263,18.0,5.663983859393082
84,GAM,1.261,19.0,5.655014763812096
885,GAM,1.255,20.0,5.628107477069135
1597,GAM,1.254,21.0,5.623622929278643
1172,GAM,1.251,22.0,5.610169285907162
2177,GAM,1.248,23.0,5.596715642535683
511,GAM,1.247,24.0,5.592231094745189
297,GAM,1.245,25.0,5.583261999164203
425,GAM,1.235,26.0,5.53841652125927
606,GAM,1.234,27.0,5.533931973468776
220,GAM,1.232,28.0,5.5249628778877895
2274,GAM,1.219,29.0,5.466663756611377
748,GAM,1.214,30.0,5.444241017658909
1972,GAM,1.209,31.0,5.421818278706443
2158,GAM,1.209,31.0,5.421818278706443
2422,GAM,1.206,33.0,5.408364635334962
2583,GAM,1.205,34.0,5.4038800875444695
1428,GAM,1.199,35.0,5.37697280080151
307,GAM,1.197,36.0,5.368003705220523
1681,GAM,1.194,37.0,5.354550061849042
1837,GAM,1.194,37.0,5.354550061849042
1010,GAM,1.187,39.0,5.32315822731559
2436,GAM,1.182,40.0,5.300735488363122
2689,GAM,1.173,41.0,5.2603745582486825
1025,GAM,1.16,42.0,5.202075436972269
2047,GAM,1.159,43.0,5.197590889181776
2486,GAM,1.154,44.0,5.175168150229309
193,GAM,1.148,45.0,5.148260863486349
1255,GAM,1.148,45.0,5.148260863486349
100,GAM,1.146,47.0,5.1392917679053625
1169,GAM,1.137,48.0,5.098930837790922
1692,GAM,1.136,49.0,5.094446290000429
1749,GAM,1.133,50.0,5.080992646628949
2290,GAM,1.112,51.0,4.986817143028589
2318,GAM,1.112,51.0,4.986817143028589
1012,GAM,1.098,53.0,4.924033473961683
1530,GAM,1.094,54.0,4.9060952827997095
581,GAM,1.093,55.0,4.901610735009216
955,GAM,1.09,56.0,4.888157091637736
2404,GAM,1.09,56.0,4.888157091637736
1614,GAM,1.076,58.0,4.825373422570829
35,GAM,1.069,59.0,4.793981588037376
761,GAM,1.067,60.0,4.785012492456389
2004,GAM,1.066,61.0,4.780527944665896
1412,GAM,1.063,62.0,4.767074301294415
2443,GAM,1.063,62.0,4.767074301294415
1778,GAM,1.052,64.0,4.71774427559899
2130,GAM,1.049,65.0,4.704290632227509
2584,GAM,1.049,65.0,4.704290632227509
527,GAM,1.04,67.0,4.6639297021130695
740,GAM,1.04,67.0,4.6639297021130695
127,GAM,1.037,69.0,4.650476058741589
2724,GAM,1.033,70.0,4.632537867579615
1758,GAM,1.032,71.0,4.628053319789123
2085,GAM,1.025,72.0,4.596661485255669
1853,GAM,1.021,73.0,4.578723294093695
1185,GAM,1.02,74.0,4.574238746303203
1121,GAM,1.019,75.0,4.569754198512708
951,GAM,1.016,76.0,4.556300555141229
149,GAM,1.015,77.0,4.551816007350735
69,GAM,1.011,78.0,4.533877816188761
2295,GAM,1.01,79.0,4.529393268398269
1406,GAM,1.009,80.0,4.524908720607775
2199,GAM,1.009,80.0,4.524908720607775
570,GAM,0.999,82.0,4.480063242702842
970,GAM,0.994,83.0,4.457640503750375
1423,GAM,0.99,84.0,4.439702312588402
2339,GAM,0.989,85.0,4.435217764797909
143,GAM,0.984,86.0,4.412795025845442
249,GAM,0.982,87.0,4.403825930264455
306,GAM,0.982,87.0,4.403825930264455
1729,GAM,0.979,89.0,4.390372286892975
302,GAM,0.952,90.0,4.269289496549655
2731,GAM,0.948,91.0,4.251351305387682
1469,GAM,0.945,92.0,4.237897662016202
2076,GAM,0.945,92.0,4.237897662016202
837,GAM,0.943,94.0,4.228928566435215
117,GAM,0.938,95.0,4.206505827482748
371,GAM,0.937,96.0,4.202021279692255
1345,GAM,0.937,96.0,4.202021279692255
