Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
96,GAM,1.803,1.0,8.6108228283142
522,GAM,1.799,2.0,8.591719505345118
2188,GAM,1.692,3.0,8.080705615922145
1697,GAM,1.487,4.0,7.101660313756637
2177,GAM,1.487,4.0,7.101660313756637
294,GAM,1.444,6.0,6.896299591838994
1129,GAM,1.417,7.0,6.7673521617976835
1681,GAM,1.411,8.0,6.738697177344059
885,GAM,1.397,9.0,6.671835546952268
307,GAM,1.371,10.0,6.547663947653228
2300,GAM,1.371,10.0,6.547663947653228
2648,GAM,1.351,12.0,6.452147332807812
318,GAM,1.333,13.0,6.366182379446938
2541,GAM,1.328,14.0,6.342303225735585
900,GAM,1.324,15.0,6.323199902766501
2318,GAM,1.32,16.0,6.304096579797418
2004,GAM,1.271,17.0,6.07008087342615
1749,GAM,1.266,18.0,6.046201719714797
1837,GAM,1.247,19.0,5.955460935611653
539,GAM,1.245,20.0,5.945909274127111
2199,GAM,1.215,21.0,5.802634351858988
2724,GAM,1.213,22.0,5.793082690374446
2047,GAM,1.211,23.0,5.783531028889905
2085,GAM,1.2,24.0,5.730996890724925
1009,GAM,1.196,25.0,5.711893567755842
2404,GAM,1.173,26.0,5.602049460683615
1885,GAM,1.169,27.0,5.582946137714532
1972,GAM,1.166,28.0,5.568618645487719
1476,GAM,1.163,29.0,5.554291153260907
2583,GAM,1.154,30.0,5.5113086765804695
127,GAM,1.151,31.0,5.496981184353658
1778,GAM,1.144,32.0,5.463550369157762
2422,GAM,1.134,33.0,5.415792061735054
2274,GAM,1.133,34.0,5.411016230992784
1530,GAM,1.121,35.0,5.3537062620855345
1172,GAM,1.107,36.0,5.286844631693744
511,GAM,1.105,37.0,5.277292970209202
1360,GAM,1.095,38.0,5.229534662786494
302,GAM,1.091,39.0,5.210431339817411
2259,GAM,1.088,40.0,5.196103847590599
1910,GAM,1.084,41.0,5.1770005246215165
1040,GAM,1.081,42.0,5.162673032394704
2158,GAM,1.07,43.0,5.110138894229726
1423,GAM,1.064,44.0,5.081483909776101
1243,GAM,1.049,45.0,5.009846448642039
1012,GAM,1.046,46.0,4.995518956415227
748,GAM,1.042,47.0,4.976415633446144
100,GAM,1.033,48.0,4.933433156765706
527,GAM,1.026,49.0,4.900002341569811
1729,GAM,1.025,50.0,4.89522651082754
84,GAM,1.019,51.0,4.8665715263739155
2486,GAM,1.018,52.0,4.8617956956316455
1572,GAM,1.016,53.0,4.852244034147104
193,GAM,1.014,54.0,4.842692372662563
581,GAM,1.007,55.0,4.809261557466666
2130,GAM,1.007,55.0,4.809261557466666
297,GAM,1.006,57.0,4.804485726724396
1428,GAM,0.998,58.0,4.76627908078623
2651,GAM,0.991,59.0,4.732848265590334
1169,GAM,0.986,60.0,4.7089691118789805
425,GAM,0.979,61.0,4.675538296683085
2436,GAM,0.979,61.0,4.675538296683085
2110,GAM,0.978,63.0,4.670762465940815
638,GAM,0.977,64.0,4.665986635198544
606,GAM,0.972,65.0,4.64210748148719
1649,GAM,0.965,66.0,4.608676666291294
2731,GAM,0.964,67.0,4.603900835549023
1680,GAM,0.962,68.0,4.594349174064482
556,GAM,0.96,69.0,4.58479751257994
