Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
522,GAM,1.728,1.0,8.25967299437171
1530,GAM,1.596,2.0,7.628725751746094
2404,GAM,1.548,3.0,7.3992903907913234
96,GAM,1.539,4.0,7.356271260612304
900,GAM,1.501,5.0,7.174634933189778
2188,GAM,1.501,5.0,7.174634933189778
2158,GAM,1.42,7.0,6.787462761578604
2004,GAM,1.36,8.0,6.500668560385143
2085,GAM,1.354,9.0,6.471989140265796
2259,GAM,1.342,10.0,6.414630300027104
2724,GAM,1.339,11.0,6.4002905899674305
1972,GAM,1.319,12.0,6.3046925229029425
2436,GAM,1.314,13.0,6.280793006136822
100,GAM,1.297,14.0,6.199534649132007
2318,GAM,1.273,15.0,6.084816968654621
1910,GAM,1.271,16.0,6.075257161948173
748,GAM,1.246,17.0,5.955759578117564
1749,GAM,1.243,18.0,5.941419868057891
1885,GAM,1.233,19.0,5.893620834525648
2274,GAM,1.22,20.0,5.83148209093373
1009,GAM,1.205,21.0,5.7597835406353655
2300,GAM,1.2,22.0,5.735884023869243
318,GAM,1.169,23.0,5.5877070199192875
1129,GAM,1.163,24.0,5.559027599799942
193,GAM,1.158,25.0,5.535128083033819
2047,GAM,1.152,26.0,5.506448662914473
1172,GAM,1.131,27.0,5.406070692496762
2486,GAM,1.118,28.0,5.343931948904845
679,GAM,1.115,29.0,5.329592238845172
294,GAM,1.112,30.0,5.315252528785499
70,GAM,1.104,31.0,5.277013301959704
476,GAM,1.096,32.0,5.238774075133909
1169,GAM,1.091,33.0,5.214874558367787
2690,GAM,1.085,34.0,5.186195138248441
2177,GAM,1.083,35.0,5.176635331541991
2583,GAM,1.08,36.0,5.162295621482319
84,GAM,1.078,37.0,5.152735814775871
297,GAM,1.077,38.0,5.147955911422645
511,GAM,1.075,39.0,5.138396104716197
1871,GAM,1.074,40.0,5.1336162013629725
2584,GAM,1.07,41.0,5.114496587950075
1892,GAM,1.064,42.0,5.085817167830729
1697,GAM,1.054,43.0,5.038018134298485
1070,GAM,1.05,44.0,5.018898520885588
1837,GAM,1.05,44.0,5.018898520885588
168,GAM,1.049,46.0,5.014118617532363
143,GAM,1.036,47.0,4.951979873940447
740,GAM,1.026,48.0,4.904180840408203
1994,GAM,1.022,49.0,4.8850612269953055
539,GAM,1.009,50.0,4.822922483403388
1503,GAM,1.003,51.0,4.794243063284042
2295,GAM,0.999,52.0,4.775123449871145
2758,GAM,0.997,53.0,4.765563643164696
2648,GAM,0.991,54.0,4.73688422304535
307,GAM,0.988,55.0,4.722544512985677
556,GAM,0.986,56.0,4.712984706279228
606,GAM,0.986,56.0,4.712984706279228
1681,GAM,0.986,56.0,4.712984706279228
2339,GAM,0.986,56.0,4.712984706279228
149,GAM,0.982,60.0,4.69386509286633
527,GAM,0.981,61.0,4.689085189513106
2110,GAM,0.98,62.0,4.684305286159882
2689,GAM,0.973,63.0,4.6508459626873115
951,GAM,0.972,64.0,4.646066059334086
2290,GAM,0.967,65.0,4.622166542567965
761,GAM,0.959,66.0,4.58392731574217
1010,GAM,0.956,67.0,4.5695876056824964
276,GAM,0.955,68.0,4.564807702329272
581,GAM,0.951,69.0,4.545688088916375
2130,GAM,0.947,70.0,4.526568475503478
2541,GAM,0.937,71.0,4.4787694419712345
1476,GAM,0.933,72.0,4.459649828558336
1185,GAM,0.931,73.0,4.450090021851888
1423,GAM,0.929,74.0,4.440530215145439
1121,GAM,0.928,75.0,4.435750311792215
1371,GAM,0.926,76.0,4.426190505085766
1758,GAM,0.92,77.0,4.39751108496642
505,GAM,0.91,78.0,4.349712051434176
1360,GAM,0.906,79.0,4.330592438021279
1243,GAM,0.895,80.0,4.278013501135811
1412,GAM,0.895,80.0,4.278013501135811
2209,GAM,0.888,82.0,4.24455417766324
570,GAM,0.884,83.0,4.225434564250342
1484,GAM,0.884,83.0,4.225434564250342
1729,GAM,0.883,85.0,4.220654660897118
970,GAM,0.881,86.0,4.211094854190669
1572,GAM,0.881,86.0,4.211094854190669
1355,GAM,0.879,88.0,4.201535047484221
2538,GAM,0.877,89.0,4.191975240777772
1543,GAM,0.868,90.0,4.1489561105987525
1912,GAM,0.868,90.0,4.1489561105987525
2161,GAM,0.868,90.0,4.1489561105987525
1853,GAM,0.867,93.0,4.144176207245528
2057,GAM,0.867,93.0,4.144176207245528
484,GAM,0.866,95.0,4.139396303892304
2029,GAM,0.866,95.0,4.139396303892304
1847,GAM,0.865,97.0,4.1346164005390795
369,GAM,0.857,98.0,4.096377173713284
2189,GAM,0.853,99.0,4.077257560300387
2456,GAM,0.852,100.0,4.072477656947163
1311,GAM,0.851,101.0,4.067697753593938
818,GAM,0.85,102.0,4.062917850240714
1931,GAM,0.849,103.0,4.05813794688749
2261,GAM,0.841,104.0,4.019898720061694
1680,GAM,0.839,105.0,4.010338913355246
1559,GAM,0.838,106.0,4.005559010002021
2076,GAM,0.838,106.0,4.005559010002021
2651,GAM,0.838,106.0,4.005559010002021
1700,GAM,0.837,109.0,4.000779106648797
127,GAM,0.836,110.0,3.9959992032955727
996,GAM,0.836,110.0,3.9959992032955727
1437,GAM,0.834,112.0,3.9864393965891236
955,GAM,0.833,113.0,3.9816594932358993
351,GAM,0.831,114.0,3.9720996865294507
1041,GAM,0.829,115.0,3.962539879823002
2284,GAM,0.829,115.0,3.962539879823002
638,GAM,0.828,117.0,3.9577599764697777
2746,GAM,0.828,117.0,3.9577599764697777
775,GAM,0.825,119.0,3.9434202664101043
1639,GAM,0.823,120.0,3.9338604597036557
688,GAM,0.822,121.0,3.9290805563504314
2117,GAM,0.822,121.0,3.9290805563504314
1040,GAM,0.821,123.0,3.924300652997207
865,GAM,0.819,124.0,3.914740846290758
885,GAM,0.818,125.0,3.9099609429375337
2731,GAM,0.818,125.0,3.9099609429375337
429,GAM,0.817,127.0,3.9051810395843094
287,GAM,0.816,128.0,3.900401136231085
1649,GAM,0.815,129.0,3.8956212328778608
220,GAM,0.814,130.0,3.8908413295246365
2022,GAM,0.813,131.0,3.8860614261714117
2497,GAM,0.813,131.0,3.8860614261714117
146,GAM,0.812,133.0,3.8812815228181883
183,GAM,0.812,133.0,3.8812815228181883
1255,GAM,0.81,135.0,3.871721716111739
1025,GAM,0.809,136.0,3.866941812758515
1377,GAM,0.808,137.0,3.8621619094052906
1314,GAM,0.807,138.0,3.8573820060520663
1772,GAM,0.805,139.0,3.8478221993456176
1526,GAM,0.804,140.0,3.843042295992393
2509,GAM,0.804,140.0,3.843042295992393
320,GAM,0.803,142.0,3.8382623926391686
2199,GAM,0.803,142.0,3.8382623926391686
2298,GAM,0.803,142.0,3.8382623926391686
288,GAM,0.801,145.0,3.82870258593272
561,GAM,0.799,146.0,3.8191427792262713
2224,GAM,0.796,147.0,3.804803069166598
844,GAM,0.793,148.0,3.790463359106925
843,GAM,0.791,149.0,3.7809035524004764
2515,GAM,0.791,149.0,3.7809035524004764
1825,GAM,0.79,151.0,3.776123649047252
2010,GAM,0.789,152.0,3.7713437456940273
1212,GAM,0.786,153.0,3.7570040356343544
1597,GAM,0.785,154.0,3.75222413228113
1778,GAM,0.785,154.0,3.75222413228113
1663,GAM,0.783,156.0,3.7426643255746814
2517,GAM,0.782,157.0,3.7378844222214567
302,GAM,0.781,158.0,3.7331045188682324
1450,GAM,0.78,159.0,3.728324615515008
38,GAM,0.778,160.0,3.7187648088085594
878,GAM,0.778,160.0,3.7187648088085594
2609,GAM,0.778,160.0,3.7187648088085594
194,GAM,0.774,163.0,3.6996451953956617
2013,GAM,0.77,164.0,3.6805255819827645
2708,GAM,0.767,165.0,3.666185871923091
636,GAM,0.766,166.0,3.6614059685698668
1614,GAM,0.766,166.0,3.6614059685698668
837,GAM,0.764,168.0,3.651846161863418
1114,GAM,0.763,169.0,3.647066258510194
2266,GAM,0.763,169.0,3.647066258510194
1012,GAM,0.762,171.0,3.6422863551569695
241,GAM,0.761,172.0,3.637506451803745
1924,GAM,0.761,172.0,3.637506451803745
2450,GAM,0.76,174.0,3.6327265484505205
2344,GAM,0.756,175.0,3.613606935037623
1999,GAM,0.755,176.0,3.608827031684399
2255,GAM,0.754,177.0,3.6040471283311746
1920,GAM,0.753,178.0,3.5992672249779503
410,GAM,0.752,179.0,3.5944873216247255
35,GAM,0.751,180.0,3.589707418271501
1361,GAM,0.751,180.0,3.589707418271501
2432,GAM,0.751,180.0,3.589707418271501
431,GAM,0.746,183.0,3.5658079015053796
2030,GAM,0.745,184.0,3.561027998152155
2422,GAM,0.745,184.0,3.561027998152155
1220,GAM,0.744,186.0,3.5562480947989306
815,GAM,0.743,187.0,3.5514681914457062
306,GAM,0.741,188.0,3.5419083847392576
586,GAM,0.74,189.0,3.5371284813860333
1652,GAM,0.739,190.0,3.532348578032809
714,GAM,0.738,191.0,3.5275686746795842
1692,GAM,0.737,192.0,3.52278877132636
1656,GAM,0.736,193.0,3.5180088679731356
392,GAM,0.735,194.0,3.5132289646199113
1518,GAM,0.735,194.0,3.5132289646199113
