Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
2177,GAM,2.329,1.0,10.405986210104071
900,GAM,2.116,2.0,9.45430091051104
2300,GAM,2.074,3.0,9.266644654253259
294,GAM,1.769,4.0,7.903902793333662
1910,GAM,1.747,5.0,7.805606659103397
2583,GAM,1.711,6.0,7.644758439453871
1837,GAM,1.707,7.0,7.626886415048368
2648,GAM,1.66,8.0,7.416890128283708
539,GAM,1.474,9.0,6.585840993427823
1129,GAM,1.444,10.0,6.451800810386551
193,GAM,1.413,11.0,6.313292621243904
1597,GAM,1.407,12.0,6.286484584635649
522,GAM,1.37,13.0,6.121168358884748
2110,GAM,1.365,14.0,6.098828328377868
96,GAM,1.344,15.0,6.005000200248979
220,GAM,1.333,16.0,5.955852133133845
1697,GAM,1.333,16.0,5.955852133133845
527,GAM,1.327,18.0,5.92904409652559
2130,GAM,1.324,19.0,5.915640078221464
160,GAM,1.286,20.0,5.745855846369186
2486,GAM,1.276,21.0,5.701175785355429
2188,GAM,1.264,22.0,5.6475597121389205
307,GAM,1.254,23.0,5.602879651125162
2259,GAM,1.219,24.0,5.446499437577013
2085,GAM,1.192,25.0,5.325863272839867
748,GAM,1.187,26.0,5.303523242332989
951,GAM,1.183,27.0,5.285651217927486
1692,GAM,1.18,28.0,5.272247199623359
318,GAM,1.177,29.0,5.258843181319232
2290,GAM,1.171,30.0,5.232035144710977
2724,GAM,1.171,30.0,5.232035144710977
1681,GAM,1.168,32.0,5.21863112640685
955,GAM,1.163,33.0,5.196291095899972
287,GAM,1.157,34.0,5.169483059291717
1413,GAM,1.154,35.0,5.156079040987589
35,GAM,1.146,36.0,5.120334992176584
570,GAM,1.132,37.0,5.057782906757324
761,GAM,1.129,38.0,5.044378888453197
1009,GAM,1.125,39.0,5.026506864047694
2004,GAM,1.115,40.0,4.981826803033937
1972,GAM,1.1,41.0,4.914806711513301
1885,GAM,1.089,42.0,4.8656586443981675
2274,GAM,1.089,42.0,4.8656586443981675
69,GAM,1.088,44.0,4.861190638296792
1025,GAM,1.088,44.0,4.861190638296792
1345,GAM,1.087,46.0,4.8567226321954164
2584,GAM,1.085,47.0,4.8477866199926645
606,GAM,1.082,48.0,4.834382601688538
861,GAM,1.072,49.0,4.789702540674781
2318,GAM,1.07,50.0,4.7807665284720295
1484,GAM,1.069,51.0,4.776298522370653
1114,GAM,1.068,52.0,4.771830516269278
1729,GAM,1.066,53.0,4.7628945040665265
1277,GAM,1.049,54.0,4.686938400343139
1355,GAM,1.049,54.0,4.686938400343139
2436,GAM,1.035,56.0,4.624386314923878
1572,GAM,1.034,57.0,4.619918308822503
2689,GAM,1.029,58.0,4.597578278315623
2029,GAM,1.027,59.0,4.588642266112872
2047,GAM,1.027,59.0,4.588642266112872
1040,GAM,1.026,61.0,4.584174260011497
306,GAM,1.02,62.0,4.557366223403243
1172,GAM,1.016,63.0,4.5394941989977395
1476,GAM,1.016,63.0,4.5394941989977395
1749,GAM,1.016,63.0,4.5394941989977395
84,GAM,1.01,66.0,4.512686162389485
740,GAM,1.01,66.0,4.512686162389485
1412,GAM,1.009,68.0,4.508218156288109
1255,GAM,1.004,69.0,4.485878125781231
2731,GAM,1.0,70.0,4.468006101375728
1360,GAM,0.997,71.0,4.454602083071601
149,GAM,0.993,72.0,4.436730058666098
1469,GAM,0.976,73.0,4.360773954942711
1530,GAM,0.976,73.0,4.360773954942711
297,GAM,0.975,75.0,4.356305948841334
2404,GAM,0.975,75.0,4.356305948841334
1758,GAM,0.97,77.0,4.333965918334456
885,GAM,0.969,78.0,4.32949791223308
1096,GAM,0.969,78.0,4.32949791223308
255,GAM,0.962,80.0,4.29822186952345
2432,GAM,0.962,80.0,4.29822186952345
2443,GAM,0.962,80.0,4.29822186952345
2158,GAM,0.961,83.0,4.293753863422074
100,GAM,0.956,84.0,4.271413832915195
2758,GAM,0.955,85.0,4.26694582681382
39,GAM,0.953,86.0,4.258009814611069
959,GAM,0.953,86.0,4.258009814611069
1185,GAM,0.95,88.0,4.244605796306941
1871,GAM,0.948,89.0,4.23566978410419
1748,GAM,0.943,90.0,4.2133297535973115
964,GAM,0.942,91.0,4.208861747495935
1406,GAM,0.936,92.0,4.182053710887682
581,GAM,0.935,93.0,4.177585704786305
1169,GAM,0.935,93.0,4.177585704786305
556,GAM,0.934,95.0,4.17311769868493
511,GAM,0.927,96.0,4.1418416559753
2422,GAM,0.927,96.0,4.1418416559753
2344,GAM,0.922,98.0,4.119501625468422
2149,GAM,0.921,99.0,4.115033619367046
1853,GAM,0.919,100.0,4.106097607164294
2295,GAM,0.916,101.0,4.0926935888601665
2257,GAM,0.913,102.0,4.07928957055604
2541,GAM,0.909,103.0,4.061417546150537
249,GAM,0.908,104.0,4.056949540049161
410,GAM,0.906,105.0,4.048013527846409
1238,GAM,0.906,105.0,4.048013527846409
1354,GAM,0.905,107.0,4.043545521745034
1423,GAM,0.905,107.0,4.043545521745034
427,GAM,0.902,109.0,4.030141503440906
1468,GAM,0.897,110.0,4.007801472934028
2030,GAM,0.897,110.0,4.007801472934028
2339,GAM,0.897,110.0,4.007801472934028
1778,GAM,0.889,113.0,3.972057424123022
1371,GAM,0.886,114.0,3.958653405818895
117,GAM,0.883,115.0,3.945249387514768
1652,GAM,0.883,115.0,3.945249387514768
1243,GAM,0.881,117.0,3.9363133753120163
2199,GAM,0.878,118.0,3.9229093570078892
1879,GAM,0.875,119.0,3.9095053387037617
2209,GAM,0.873,120.0,3.9005693265010106
339,GAM,0.87,121.0,3.887165308196883
2578,GAM,0.867,122.0,3.873761289892756
2538,GAM,0.862,123.0,3.8514212593858774
